reg_id,spikes,morethan5,longspikes,many_longspikes
F13_100,0,,,
F13_102,0,,,
F13_112,0,,,
F13_118,0,,,
F13_138,0,,,
F13_142,1,1,1,1
F13_146,0,,,
F13_152,0,,,
F13_153,0,,,
F13_165,0,,,
F13_171,0,,,
F13_182,0,,,
F13_199,0,,,
F13_207,0,,,
F13_209,0,,,
F13_212,1,,,
F13_220,0,,,
F13_25,0,,,
F13_267,0,,,
F13_27,0,,,
F13_278,0,,,
F13_279,0,,,
F13_282,0,,,
F13_290,0,,,
F13_291,0,,,
F13_324,0,,,
F13_34,1,1,1,1
F13_344,0,,,
F13_359,0,,,
F13_363,0,,,
F13_368,0,,,
F13_370,0,,,
F13_376,0,,,
F13_388,0,,,
F13_42,0,,,
F13_424,0,,,
F13_430,0,,,
F13_431,1,1,,
F13_433,0,,,
F13_443,0,,,
F13_454,0,,,
F13_464,0,,,
F13_471,1,,,
F13_51,0,,,
F13_517,0,,,
F13_55,0,,,
F13_57,0,,,
F13_69,0,,,
F13_84,0,,,
F13_89,0,,,
F13_115,0,,,
F13_126,0,,,
F13_131,0,,,
F13_141,1,,,
F13_156,0,,,
F13_160,1,1,1,1
F13_162,0,,,
F13_180,0,,,
F13_190,0,,,
F13_192,0,,,
F13_20,0,,,
F13_21,0,,,
F13_217,0,,,
F13_222,1,,,
F13_224,0,,,
F13_24,0,,,
F13_258,0,,,
F13_276,0,,,
F13_280,0,,,
F13_300,0,,,
F13_317,0,,,
F13_336,0,,,
F13_343,0,,,
F13_345,0,,,
F13_358,0,,,
F13_379,0,,,
F13_390,0,,,
F13_401,0,,,
F13_402,0,,,
F13_405,0,,,
F13_412,1,1,,
F13_426,0,,,
F13_438,0,,,
F13_445,0,,,
F13_448,1,,,
F13_458,1,1,,
F13_462,0,,,
F13_465,1,1,1,1
F13_470,0,,,
F13_473,0,,,
F13_474,0,,,
F13_480,0,,,
F13_484,1,,,
F13_496,0,,,
F13_506,1,1,1,1
F13_510,0,,,
F13_56,0,,,
F13_73,0,,,
F13_8,0,,,
F13_88,0,,,
F14_105,0,,,
F14_108,0,,,
F14_125,0,,,
F14_13,0,,,
F14_134,1,1,,
F14_135,0,,,
F14_148,0,,,
F14_149,0,,,
F14_15,0,,,
F14_155,0,,,
F14_168,0,,,
F14_170,0,,,
F14_179,0,,,
F14_182,0,,,
F14_197,0,,,
F14_227,0,,,
F14_235,0,,,
F14_255,1,1,,
F14_279,0,,,
F14_295,0,,,
F14_305,0,,,
F14_31,1,1,,
F14_314,0,,,
F14_316,0,,,
F14_329,0,,,
F14_331,0,,,
F14_358,0,,,
F14_360,0,,,
F14_370,0,,,
F14_373,0,,,
F14_38,0,,,
F14_391,0,,,
F14_392,0,,,
F14_406,0,,,
F14_412,0,,,
F14_413,0,,,
F14_450,0,,,
F14_463,0,,,
F14_476,0,,,
F14_478,0,,,
F14_492,0,,,
F14_62,0,,,
F14_77,0,,,
F14_78,0,,,
F14_79,0,,,
F14_89,0,,,
F14_9,0,,,
F14_90,0,,,
F14_92,0,,,
F14_99,0,,,
F14_10,0,,,
F14_111,0,,,
F14_113,0,,,
F14_129,0,,,
F14_133,0,,,
F14_138,0,,,
F14_159,0,,,
F14_160,0,,,
F14_171,0,,,
F14_177,1,1,1,1
F14_199,0,,,
F14_214,0,,,
F14_215,0,,,
F14_229,0,,,
F14_233,0,,,
F14_234,0,,,
F14_253,0,,,
F14_292,0,,,
F14_307,0,,,
F14_313,0,,,
F14_326,0,,,
F14_344,0,,,
F14_350,0,,,
F14_357,0,,,
F14_36,0,,,
F14_364,0,,,
F14_367,0,,,
F14_37,0,,,
F14_379,0,,,
F14_385,0,,,
F14_386,0,,,
F14_393,0,,,
F14_396,0,,,
F14_404,0,,,
F14_409,0,,,
F14_410,0,,,
F14_417,0,,,
F14_418,0,,,
F14_432,0,,,
F14_436,0,,,
F14_454,0,,,
F14_46,0,,,
F14_464,1,,,
F14_473,0,,,
F14_482,0,,,
F14_488,0,,,
F14_497,0,,,
F14_85,0,,,
F14_93,0,,,
F14_96,0,,,
F15_102,0,0,,
F15_108,0,0,,
F15_11,1,,,
F15_114,1,,,
F15_115,1,1,,
F15_12,0,,,
F15_124,0,,,
F15_129,1,1,,
F15_132,0,,,
F15_133,0,,,
F15_138,1,1,,
F15_14,0,,,
F15_141,1,1,,
F15_154,0,,,
F15_155,0,,,
F15_16,1,1,,
F15_166,0,,,
F15_167,1,,,
F15_168,1,,,
F15_170,0,,,
F15_173,0,,,
F15_174,0,,,
F15_179,1,1,,
F15_18,1,,,
F15_20,0,,,
F15_22,0,,,
F15_27,0,,,
F15_28,0,,,
F15_30,1,1,,
F15_34,1,1,,
F15_36,0,,,
F15_37,1,1,,
F15_41,0,,,
F15_44,1,1,,
F15_47,1,0,,
F15_49,0,,,
F15_50,1,0,,
F15_53,0,,,
F15_56,0,0,,
F15_57,1,1,,
F15_61,0,,,
F15_62,0,,,
F15_75,0,,,
F15_84,0,,,
F15_87,0,,,
