reg_id,spikes,morethan5,longspikes,many_longspikes
I13_100,0,,,
I13_108,0,,,
I13_112,0,,,
I13_147,0,,,
I13_151,0,,,
I13_166,0,,,
I13_168,0,,,
I13_17,0,,,
I13_175,0,,,
I13_180,0,,,
I13_181,0,,,
I13_189,0,,,
I13_191,0,,,
I13_192,0,,,
I13_199,0,,,
I13_20,1,1,,
I13_200,0,,,
I13_203,0,,,
I13_22,0,,,
I13_240,0,,,
I13_241,1,1,,
I13_242,0,,,
I13_272,0,,,
I13_273,1,,,
I13_281,0,,,
I13_291,0,,,
I13_294,0,,,
I13_30,0,,,
I13_302,0,,,
I13_314,0,,,
I13_318,0,,,
I13_336,0,,,
I13_339,0,,,
I13_351,1,1,,
I13_352,0,,,
I13_354,0,,,
I13_357,0,,,
I13_360,0,,,
I13_368,0,,,
I13_376,0,,,
I13_379,0,,,
I13_383,0,,,
I13_51,0,,,
I13_56,0,,,
I13_6,0,,,
I13_61,0,,,
I13_62,0,,,
I13_73,0,,,
I13_9,0,,,
I13_99,0,,,
I13_1,0,,,
I13_10,1,1,1,1
I13_111,0,,,
I13_113,0,,,
I13_145,1,1,1,1
I13_156,0,,,
I13_173,0,,,
I13_186,0,,,
I13_210,0,,,
I13_222,0,,,
I13_228,0,,,
I13_234,0,,,
I13_255,0,,,
I13_261,1,,,
I13_269,0,,,
I13_270,0,,,
I13_271,0,,,
I13_274,0,,,
I13_277,0,,,
I13_283,0,,,
I13_290,0,,,
I13_307,1,,,
I13_310,0,,,
I13_315,1,1,,
I13_319,0,,,
I13_320,0,,,
I13_322,0,,,
I13_324,1,,,
I13_328,0,,,
I13_334,0,,,
I13_337,0,,,
I13_349,0,,,
I13_353,0,,,
I13_355,0,,,
I13_369,1,,,
I13_371,0,,,
I13_374,1,,,
I13_385,0,,,
I13_386,0,,,
I13_387,0,,,
I13_39,0,,,
I13_390,0,,,
I13_399,0,,,
I13_47,0,,,
I13_5,1,,,
I13_54,0,,,
I13_70,0,,,
I13_71,0,,,
I13_8,1,,,
I13_90,0,,,
I14_103,0,,,
I14_110,0,,,
I14_132,0,,,
I14_147,0,,,
I14_160,0,,,
I14_174,0,,,
I14_176,0,,,
I14_208,0,,,
