reg_id,spikes,morethan5,longspikes,many_longspikes,
H15_173,0,,,,
H15_176,0,,,,
H15_181,0,,,,
H15_183,0,,,,
H15_19,0,,,,
H15_21,0,,,,
H15_25,1,,,,
H15_28,1,1,,,
H15_35,1,,,,
H15_41,1,,,,
H15_44,0,,,,
H15_46,0,,,,
H15_49,1,1,,,
H15_53,1,1,,,
H15_57,0,,,,
H15_67,1,,,,
H15_7,1,1,,,
H15_73,0,,,,
H15_76,0,,,,
H15_8,0,,,,
H15_81,0,,,,
H15_89,0,,,,
H15_96,1,,1,1,
H15_97,1,,,,
H16_10,0,,,,
H16_107,0,,,,
H16_108,0,,,,
H16_111,0,,,,
H16_125,0,,,,
H16_131,0,,,,
H16_146,0,,,,
H16_149,0,,,,
H16_150,1,1,1,1,
H16_152,1,1,,,
H16_157,1,1,,,
H16_16,0,,,,
H16_164,1,1,,,
H16_165,0,,,,
H16_168,1,1,,,
H16_176,0,,,,
H16_186,1,1,,,
H16_188,0,,,,
H16_19,1,,,,
H16_201,1,1,,,
H16_205,1,1,,,
H16_213,1,1,,,
H16_214,1,1,,,
H16_216,1,,,,
H16_219,1,1,1,1,
H16_221,1,1,,,
H16_227,0,,,,
H16_228,0,,,,
H16_239,1,,,,
H16_246,1,1,1,1,
H16_248,0,,,,
H16_249,0,,,,
H16_250,1,,1,,
H16_254,1,,,,
H16_33,0,,,,
H16_45,0,,,,
H16_53,0,,,,
H16_55,1,,,,
H16_58,0,,,,
H16_6,1,,,,
H16_66,0,,,,
H16_71,0,,,,
H16_76,0,,,,
H16_77,0,,,,
H16_78,0,,,,
H16_86,0,,,,
H16_87,0,,,,
H16_92,1,1,,,
H16_93,0,,,,
H16_94,0,,,,
H16_100,0,,,,
H16_102,0,,,,
H16_104,0,,,,
H16_115,0,,,,
H16_116,0,,,,
H16_119,0,,,,
H16_120,0,,,,
H16_121,0,,,,
H16_144,0,,,,
H16_156,1,,,,
H16_158,0,,,,
H16_159,0,,,,
H16_167,1,,,,
H16_175,0,,,,
H16_177,1,1,,,
H16_179,0,,,,
H16_18,1,1,,,
H16_181,1,,,,
H16_182,0,,,,
H16_184,0,,,,
H16_189,1,1,,,
H16_192,1,,1,1,
H16_194,0,,,,
H16_198,1,1,,,
H16_199,0,,,,
H16_217,0,,,,
H16_229,0,,,,
H16_233,0,,,,
H16_234,0,,,,
H16_235,1,,,,
H16_236,1,,1,1,
H16_24,1,1,,,
H16_240,0,,,,
H16_247,1,1,1,1,
H16_251,1,1,1,1,
H16_264,0,,,,
H16_30,1,1,1,1,
H16_34,1,1,1,1,
H16_40,0,,,,
H16_41,0,,,,
H16_52,1,,,,
H16_54,0,,,,
H16_64,1,1,,,
H16_75,0,,,,
H16_80,0,,,,
H16_85,0,0,,,
H16_88,1,1,,,
H16_9,0,,,,
H16_96,0,0,,,
H16_97,1,1,,,
