reg_id,spikes,morethan5,longspikes,many_longspikes,
H13_10,0,,,,
H13_105,1,,,,
H13_107,1,,,,
H13_109,0,,,,
H13_110,0,,,,
H13_111,0,,,,
H13_136,0,,,,
H13_138,0,,,,
H13_145,1,,,,
H13_157,0,,,,
H13_16,0,,,,
H13_161,0,,,,
H13_162,0,,,,
H13_164,0,,,,
H13_170,0,,,,
H13_183,0,,,,
H13_187,0,,,,
H13_196,1,,,,
H13_209,0,,,,
H13_217,0,,,,
H13_220,0,,,,
H13_240,0,,,,
H13_245,0,,,,
H13_251,0,,,,
H13_252,0,,,,
H13_260,0,,,,
H13_28,1,1,,,
H13_289,0,,,,
H13_29,1,,,,
H13_294,0,,,,
H13_297,0,,,,
H13_299,0,,,,
H13_304,0,,,,
H13_31,1,,,,
H13_311,0,,,,
H13_36,0,,,,
H13_40,0,,,,
H13_43,0,,,,
H13_5,0,,,,
H13_56,0,,,,
H13_57,0,,,,
H13_58,0,,,,
H13_59,1,,,,
H13_65,1,,,,
H13_66,1,,,,
H13_74,0,,,,
H13_76,0,,,,
H13_86,0,,,,
H13_87,0,,,,
H13_95,0,,,,
H13_101,0,,,,
H13_108,1,,,,
H13_116,0,,,,
H13_119,1,,,,
H13_12,0,,,,
H13_129,0,,,,
H13_132,0,,,,
H13_133,0,,,,
H13_134,0,,,,
H13_137,0,,,,
H13_139,0,,,,
H13_14,0,,,,
H13_140,0,,,,
H13_144,0,,,,
H13_150,0,,,,
H13_154,0,,,,
H13_160,0,,,,
H13_165,0,,,,
H13_175,0,,,,
H13_197,0,,,,
H13_201,0,,,,
H13_21,0,,,,
H13_210,0,,,,
H13_212,0,,,,
H13_221,0,,,,
H13_224,0,,,,
H13_225,0,,,,
H13_230,0,,,,
H13_231,0,,,,
H13_233,0,,,,
H13_234,0,,,,
H13_239,0,,,,
H13_253,1,,,,
H13_26,0,,,,
H13_262,0,,,,
H13_268,1,,,,
H13_269,0,,,,
H13_270,0,,,,
H13_277,0,,,,
H13_284,0,,,,
H13_293,0,,,,
H13_300,0,,,,
H13_302,0,,,,
H13_62,0,,,,
H13_69,1,,,,
H13_82,0,,,,
H13_85,0,,,,
H13_88,0,,,,
H13_92,0,,,,
H13_98,0,,,,
H14_117,0,,,,
H14_126,0,,,,
H14_148,1,1,1,1,
H14_159,0,,,,
H14_168,0,,,,
H14_17,0,,,,
H14_179,0,,,,
H14_182,0,,,,
H14_189,0,,,,
H14_203,0,,,,
H14_210,0,,,,
H14_218,0,,,,
H14_219,0,,,,
H14_228,0,,,,
H14_237,0,,,,
H14_252,0,,,,
H14_260,0,,,,
H14_268,0,,,,
H14_273,0,,,,
H14_278,0,,,,
H14_290,0,,,,
H14_30,0,,,,
H14_300,0,,,,
H14_325,0,,,,
H14_326,0,,,,
H14_340,0,,,,
H14_342,0,,,,
H14_355,0,,,,
H14_359,0,,,,
H14_382,1,,1,,
H14_391,0,,,,
H14_394,1,,,,
H14_398,0,,,,
H14_400,0,,,,
H14_411,0,,,,
H14_416,0,,,,
H14_418,0,,,,
H14_427,0,,,,
H14_43,0,,,,
H14_451,0,,,,
H14_477,0,,,,
H14_495,0,,,,
H14_504,0,,,,
H14_51,0,,,,
H14_510,0,,,,
H14_521,0,,,,
H14_53,1,1,,,
H14_535,0,,,,
H14_96,0,,,,
H14_98,0,,,,
H14_10,0,,,,
H14_107,0,,,,
H14_110,0,,,,
H14_111,0,,,,
H14_116,0,,,,
H14_138,0,,,,
H14_139,1,,,,
H14_14,0,,,,
H14_151,0,,,,
H14_167,0,,,,
H14_172,0,,,,
H14_173,0,,,,
H14_192,0,,,,
H14_212,0,,,,
H14_227,0,,,,
H14_231,1,,,,
H14_236,0,,,,
H14_238,0,,,,
H14_28,0,,,,
H14_3,0,,,,
H14_345,0,,,,
H14_36,0,,,,
H14_377,0,,,,
H14_401,0,,,,
H14_403,0,,,,
H14_405,0,,,,
H14_41,0,,,,
H14_410,0,,,,
H14_428,0,,,,
H14_442,0,,,,
H14_456,0,,,,
H14_473,0,,,,
H14_479,0,,,,
H14_480,0,,,,
H14_486,0,,,,
H14_489,0,,,,
H14_497,0,,,,
H14_513,0,,,,
H14_6,0,,,,
H14_63,0,,,,
H14_64,0,,,,
H14_67,0,,,,
H14_68,0,,,,
H14_73,0,,,,
H14_74,0,,,,
H14_76,0,,,,
H14_79,0,,,,
H14_8,0,,,,
H14_87,0,,,,
H14_94,0,,,,
H15_1,1,1,,,
H15_10,1,1,1,1,0
H15_100,0,,,,
H15_103,0,,,,
H15_104,0,,,,
H15_107,1,,,,
H15_110,0,,,,
H15_116,0,,,,
H15_118,0,,,,
H15_119,0,,,,
H15_128,0,,,,
H15_130,0,,,,
H15_131,0,,,,
H15_132,0,,,,
H15_134,0,,,,
H15_138,0,,,,
H15_14,1,1,1,1,
H15_146,0,,,,
H15_151,0,,,,
H15_153,1,,,,
H15_161,0,,,,
H15_162,0,,,,
H15_172,0,,,,
H15_175,1,,,,
H15_177,0,,,,
H15_178,0,,,,
H15_179,0,,,,
H15_18,0,,,,
H15_180,0,,,,
H15_184,0,,,,
H15_22,1,,,,
H15_23,1,1,1,1,
H15_24,0,,,,
H15_27,1,,,,
H15_31,0,,,,
H15_34,0,,,,
H15_51,0,,,,
H15_52,0,,,,
H15_54,0,,,,
H15_55,0,,,,
H15_63,0,,,,
H15_64,0,,,,
H15_69,0,,,,
H15_79,0,,,,
H15_80,0,,,,
H15_85,1,,,,
H15_92,0,,,,
H15_93,0,,,,
H15_98,0,,,,
H15_99,1,,,,
H15_101,0,,,,
H15_102,0,,,,
H15_106,0,,,,
H15_108,1,,,,
H15_11,0,,,,
H15_111,0,,,,
H15_114,0,,,,
H15_115,0,,,,
H15_121,0,,,,
H15_125,0,,,,
H15_13,1,1,,,
H15_136,0,,,,
H15_137,0,,,,
H15_143,0,,,,
H15_145,0,,,,
H15_149,1,,,,
H15_152,1,1,,,
H15_154,0,,,,
H15_156,1,1,,,
H15_160,0,,,,
H15_163,1,1,1,1,
H15_164,0,,,,
H15_166,0,,,,
H15_167,0,,,,
H15_168,0,,,,
H15_171,0,,,,
