reg_id,spikes,morethan5,longspikes,many_longspikes
K13_108,1,,,
K13_136,1,1,1,1
K13_15,0,,,
K13_154,0,,,
K13_178,0,,,
K13_183,0,,,
K13_188,1,,,
K13_196,0,,,
K13_198,0,,,
K13_225,0,,,
K13_242,0,,,
K13_247,0,,,
K13_25,0,,,
K13_261,0,,,
K13_29,0,,,
K13_290,0,,,
K13_321,0,,,
K13_323,0,,,
K13_324,0,,,
K13_326,0,,,
K13_331,0,,,
K13_339,0,,,
K13_360,0,,,
K13_363,0,,,
K13_366,1,1,1,1
K13_377,0,,,
K13_396,0,,,
K13_416,0,,,
K13_424,0,,,
K13_467,1,1,1,1
K13_468,1,1,1,1
K13_474,0,,,
K13_475,0,,,
K13_498,1,1,,
K13_506,0,,,
K13_508,0,,,
K13_520,0,,,
K13_541,0,,,
K13_578,0,,,
K13_587,0,,,
K13_609,0,,,
K13_616,0,,,
K13_618,1,0,1,
K13_62,0,,,
K13_66,0,,,
K13_73,0,,,
K13_74,0,,,
K13_86,0,,,
K13_9,0,,,
K13_98,1,1,1,1
K13_10,0,,,
K13_100,0,,,
K13_107,0,,,
K13_109,0,,,
K13_12,0,,,
K13_14,0,,,
K13_143,0,,,
K13_150,0,,,
K13_169,0,,,
K13_170,0,,,
K13_171,0,,,
K13_22,0,,,
K13_253,0,,,
K13_262,0,,,
K13_266,1,1,,
K13_289,0,,,
K13_296,0,,,
K13_298,0,,,
K13_301,0,,,
K13_311,0,,,
K13_35,0,,,
K13_362,0,,,
K13_39,0,,,
K13_398,0,,,
K13_425,0,,,
K13_430,0,,,
K13_440,0,,,
K13_445,0,,,
K13_45,0,,,
K13_47,0,,,
K13_471,0,,,
K13_477,1,1,1,1
K13_479,0,,,
K13_493,0,,,
K13_504,1,1,1,1
K13_514,0,,,
K13_534,0,,,
K13_544,0,,,
K13_549,0,,,
K13_589,0,,,
K13_59,0,,,
K13_591,0,,,
K13_598,0,,,
K13_6,0,,,
K13_612,0,,,
K13_624,0,,,
K13_634,0,,,
K13_642,0,,,
K13_646,0,,,
K13_95,0,,,
K14_101,0,,,
K14_110,0,,,
K14_111,0,,,
K14_134,0,,,
K14_138,0,,,
K14_15,0,,,
K14_157,0,,,
K14_165,0,,,
K14_173,0,,,
K14_184,0,,,
K14_191,0,,,
K14_21,0,,,
K14_210,1,,1,
K14_230,0,,,
K14_233,0,,,
K14_236,0,,,
K14_248,0,,,
K14_249,1,1,1,1
K14_250,0,,,
K14_252,0,,,
K14_26,0,,,
K14_281,0,,,
K14_288,0,,,
K14_293,0,,,
K14_298,0,,,
K14_300,0,,,
K14_303,1,1,,
K14_31,0,,,
K14_312,0,,,
K14_314,0,,,
K14_335,0,,,
K14_337,0,,,
K14_355,0,,,
K14_356,0,,,
K14_358,0,,,
K14_36,0,,,
K14_362,0,,,
K14_379,0,,,
K14_393,0,,,
K14_396,0,,,
K14_415,0,,,
K14_416,0,,,
K14_424,0,,,
K14_425,0,,,
K14_430,0,,,
K14_440,0,,,
K14_441,0,,,
K14_448,0,,,
K14_72,1,,,
K14_97,0,,,
K14_118,0,,,
K14_135,1,,,
K14_14,0,,,
K14_146,1,,,
K14_152,0,,,
K14_153,0,,,
K14_159,0,,,
K14_17,0,,,
K14_176,0,,,
K14_179,0,,,
K14_180,0,,,
K14_183,0,,,
K14_196,0,,,
K14_201,0,,,
K14_22,0,,,
K14_238,0,,,
K14_24,0,,,
K14_243,0,,,
K14_267,0,,,
K14_27,0,,,
K14_270,0,,,
K14_272,0,,,
K14_273,1,1,1,1
K14_30,0,,,
K14_307,0,,,
K14_315,0,,,
K14_323,0,,,
K14_328,0,,,
K14_357,0,,,
K14_367,0,,,
K14_370,0,,,
K14_371,0,,,
K14_382,0,,,
K14_403,0,,,
K14_41,0,,,
K14_413,0,,,
K14_414,0,,,
K14_428,0,,,
K14_436,0,,,
K14_446,0,,,
K14_449,0,,,
K14_66,0,,,
K14_68,0,,,
K14_69,0,,,
K14_71,0,,,
K14_79,0,,,
K14_82,0,,,
K14_84,0,,,
K14_93,0,,,
K14_96,0,,,
K15_103,1,,,
K15_113,0,,,
K15_119,1,1,,
K15_121,1,1,1,1
K15_127,1,1,,
K15_129,1,1,1,1
K15_13,0,,,
K15_14,0,,,
K15_140,0,,,
K15_145,1,,,
K15_147,1,1,1,1
