"reg_id","intensity_mean","im_idx"
"D07_1",9038.15727002967,1
"D07_2",7151.90573012939,1
"D07_3",7032.49893390192,1
"D07_4",7296.20186915888,1
"D07_5",7018.61764705882,1
"D07_6",6850.4459770115,1
"D07_7",7972.54189944134,1
"D07_8",7215.22891566265,1
"D07_9",7863.85542168675,1
"D07_10",9750.47037037037,1
"D07_11",9651.52303120357,1
"D07_12",8162.17101449275,1
"D07_13",7881.89444444444,1
"D07_14",7680.72483221477,1
"D07_15",8695.4293059126,1
"D07_16",8001.15699658703,1
"D07_17",7495.68882602546,1
"D07_18",10411.6814159292,1
"D07_19",6871.58007117438,1
"D07_20",8390.70855148342,1
"D07_21",7199.23774145617,1
"D07_22",7796.22857142857,1
"D07_23",6920.33802816901,1
"D07_24",8174.5,1
"D07_25",7212.44011142061,1
"D07_26",11605.253647587,1
"D07_27",6956.08510638298,1
"D07_28",7282.36557610242,1
"D07_29",6831.52908587258,1
"D07_30",7862.10076335878,1
"D07_31",6702.71,1
"D07_32",7104.95,1
"D07_33",6624.96466431095,1
"D07_34",7245.44099378882,1
"D07_35",6948.17056856187,1
"D07_36",7183.78853754941,1
"D07_37",10848.881127451,1
"D07_38",6893.44635193133,1
"D07_39",7211.13333333333,1
"D07_40",6668.04571428571,1
"D07_41",6786.9865470852,1
"D07_42",6913.45431472081,1
"D07_43",6705.01386138614,1
"D07_44",6994.21382636656,1
"D07_45",6647.00412371134,1
"D07_46",7169.69180327869,1
"D07_47",8260.45337620579,1
"D07_48",7679.47810218978,1
"D07_49",7220.40625,1
"D07_50",7181.26002766252,1
"D07_51",7069.9025974026,1
"D07_52",8637.02495543672,1
"D07_53",6733.97609001406,1
"D07_54",6870.98695652174,1
"D07_55",6634.76144578313,1
"D07_56",6847.03105590062,1
"D07_57",8252.46534653465,1
"D07_58",7856.83834586466,1
"D07_59",6933.19740634006,1
"D07_60",7061.20558375634,1
"D07_61",6631.556,1
"D07_62",7803.69230769231,1
"D07_63",6950.72058823529,1
"D07_64",9885.13157894737,1
"D07_65",6497.75342465753,1
"D07_66",7758.05621805792,1
"D07_67",8040.85100286533,1
"D07_68",7154.95884773663,1
"D07_69",7759.85420560748,1
"D07_70",6624.029296875,1
"D07_71",7205.65040650407,1
"D07_72",7088.96879875195,1
"D07_73",7293.87030716724,1
"D07_74",6989.12427184466,1
"D07_75",8716.64829396326,1
"D07_76",8828.96951219512,1
"D07_77",10759.6564885496,1
"D07_78",9893.9653304442,1
"D07_79",8216.66349206349,1
"D07_80",8495.18584070797,1
"D07_81",7216.34888438134,1
"D07_82",17643.3001443001,1
"D07_83",8934.55443037975,1
"D07_84",12919.7951070336,1
"D07_85",8161.02824858757,1
"D07_86",8998.2114735658,1
"D07_87",7605.67413441955,1
"D07_88",10044.1316526611,1
"D07_89",8858.38636363636,1
"D07_90",9737.65217391304,1
"D07_91",8869.09179415855,1
"D07_92",11623.9921630094,1
"D07_93",11493.0714285714,1
"D07_94",9256.84919210054,1
"D07_95",8523.06443914081,1
"D07_96",10020.2440056417,1
"D07_97",7529.67043314501,1
"D07_98",11727.0512209649,1
"D07_99",10889.1040515654,1
"D07_100",8044.68092105263,1
"D07_101",10443.4275862069,1
"D07_102",12098.9886104784,1
"D07_103",8145.58861578267,1
"D07_104",8289.21626297578,1
"D07_105",10981.3712374582,1
"D07_106",14545.5325112108,1
"D07_107",7534.92220113852,1
"D07_108",6999.37068965517,1
"D07_109",12284.7619047619,1
"D07_110",6734.54005934718,1
"D07_111",8286.22760290557,1
"D07_112",8485.02435530086,1
"D07_113",7637.21157323689,1
"D07_114",10410.2723311547,1
"D07_115",8705.58858858859,1
"D07_116",7837.83850931677,1
"D07_117",7648.62745098039,1
"D07_118",6917.6570945946,1
"D07_119",7318.37121212121,1
"D07_120",7895.48803827751,1
"D07_121",8420.52650822669,1
"D07_122",7104.07359307359,1
"D07_123",7399.4738372093,1
"D07_124",8192.31021437579,1
"D07_125",41063.5345132743,1
"D07_126",7575.66011787819,1
"D07_127",7528.35302806499,1
"D07_128",7137.73913043478,1
"D07_129",8563.3710021322,1
"D07_130",7310.90421455939,1
"D07_131",7462.1343537415,1
"D07_132",7223.36893203883,1
"D07_133",9417.37124463519,1
"D07_134",7095.38402457757,1
"D07_135",7449.4309484193,1
"D07_136",7144.04864864865,1
"D07_137",7275.02123893805,1
"D07_138",8230.0206185567,1
"D07_139",7490.55866523143,1
"D07_140",9571.5423255814,1
"D07_141",7658.89245585875,1
"D07_142",7787.01503759398,1
"D07_143",10537.5584158416,1
"D07_144",7582.01076716016,1
"D07_145",11626.3028571429,1
"D07_146",7890.55788005579,1
"D07_147",12067.3465608466,1
"D07_148",7761.38349514563,1
"D07_149",7120.46306818182,1
"D07_150",10648.7413509061,1
"D07_151",10088.1121281465,1
"D07_152",7897.16312056738,1
"D07_153",7575.90213523132,1
"D07_154",10688.753271028,1
"D07_155",7708.4,1
"D07_156",13364.384,1
"D07_157",10624.6142270862,1
"D07_158",8480.26302729528,1
"D07_159",8049.656,1
"D07_160",7963.89247311828,1
"D07_161",7606.51733333333,1
"D07_162",7945.94299287411,1
"D07_163",10069.9915110357,1
"D07_164",7754.5984496124,1
"D07_165",10570.30375,1
"D07_166",8161.73448773449,1
"D07_167",8089.475,1
"D07_168",10598.7642335766,1
"D07_169",11724.1024875622,1
"D07_170",13640.4245439469,1
"D07_171",9592.49502982107,1
"D07_1",8277.78931750742,2
"D07_2",7009.46210720887,2
"D07_3",9677.95948827292,2
"D07_4",8073.81869158879,2
"D07_5",7032.46524064171,2
"D07_6",6897.46666666667,2
"D07_7",7441.62290502793,2
"D07_8",7903.28714859438,2
"D07_9",7254.89156626506,2
"D07_10",8805.68518518518,2
"D07_11",9078.87369985141,2
"D07_12",7764.07246376812,2
"D07_13",7809.31666666667,2
"D07_14",7440.56040268456,2
"D07_15",9783.54498714653,2
"D07_16",7723.6928327645,2
"D07_17",7423.19519094767,2
"D07_18",9139.33628318584,2
"D07_19",6809.66903914591,2
"D07_20",7679.93542757417,2
"D07_21",7047.68499257058,2
"D07_22",7899.37142857143,2
"D07_23",6764.2323943662,2
"D07_24",10872.3125,2
