geneID,A375_8day_rep1,A375_8day_rep2,A375_8day_rep3,A375_0day_rep1,A375_0day_rep2,A375_0day_rep3,WM88_8day_rep1,WM88_8day_rep2,WM88_8day_rep3,WM88_0day_rep1,WM88_0day_rep2,WM88_0day_rep3,SKMEL5_8day_rep1,SKMEL5_8day_rep2,SKMEL5_8day_rep3,SKMEL5_0day_rep1,SKMEL5_0day_rep2,SKMEL5_0day_rep3,SKMEL28_8day_rep1,SKMEL28_8day_rep2,SKMEL28_8day_rep3,SKMEL28_0day_rep1,SKMEL28_0day_rep2,SKMEL28_0day_rep3
ATP7B,824,597,622,470,299,458,1377,1796,2559,1303,1253,1298,2242,2026,3233,1481,2014,1691,2403,2130,2338,2907,1518,3897
ATP8,8829,7345,8123,9589,5758,7877,9947,18410,39982,14707,17367,14058,15807,18280,24355,16757,17395,19799,15724,16178,16227,18924,17513,18797
ATP8A1,495,389,352,121,70,112,43,109,620,169,221,276,181,187,266,301,554,269,13,13,10,7,28,4
ATP8A2,209,160,121,361,187,243,27,28,16,27,29,18,18,7,5,8,7,16,1,3,2,13,10,22
ATP8B1,107,82,83,47,15,43,63,79,119,65,64,73,134,154,273,67,181,144,68,63,68,71,37,91
ATP8B1-AS1,263,168,198,161,110,168,341,409,200,356,372,285,273,271,361,221,336,317,133,103,98,233,103,252
ATP8B2,21995,16243,17824,10820,6642,10356,11689,13978,10953,8382,7711,7567,13769,13961,21235,11293,11601,12058,9126,8084,8984,5063,3248,5337
ATP8B3,128,130,153,119,106,204,106,129,247,123,138,107,116,120,216,180,432,388,380,398,504,346,797,476
ATP8B4,60,52,36,35,11,5,26,35,5,0,5,4,4,8,14,3,33,20,0,0,0,2,0,0
ATP8B5P,75,42,57,49,27,36,11,22,11,27,31,36,13,18,17,17,47,26,53,55,52,60,36,47
ATP9A,1935,1362,1028,5945,2538,3639,4795,5480,7187,4713,4752,5033,7838,7583,9813,5482,10864,9347,15254,13331,14776,1453,895,2064
ATP9B,751,570,554,438,270,511,587,837,1196,592,636,602,1207,1229,1625,774,1053,1063,1799,1861,2148,815,1090,1111
ATPAF1,4895,3364,3446,4983,2898,4418,3870,4623,2066,3465,2722,2835,1957,1818,2435,2205,2645,2459,2090,1557,1544,2325,388,2663
ATPAF2,1569,1047,1051,1491,858,1269,630,791,446,623,528,511,722,707,954,625,982,977,735,599,610,909,843,862
ATPSCKMT,903,708,712,763,312,488,1540,1778,1136,1778,1584,1446,636,570,721,821,949,906,713,558,476,1249,390,1233
ATR,2698,2893,2945,2325,1765,3723,943,2248,2290,2164,3315,3294,2364,2449,3520,1609,3797,3320,1380,1418,1206,1758,2576,3926
ATRAID,6999,5192,5342,5072,2845,4619,3395,3929,4267,2879,2200,2130,7323,7666,8301,6228,9125,9593,5309,4250,4540,4348,5006,4148
ATRIP,29,18,33,31,28,29,15,25,29,14,17,6,11,13,15,20,25,29,19,12,24,12,20,17
ATRIP-TREX1,47,16,39,57,27,45,34,52,23,30,33,33,12,17,19,14,21,25,24,17,24,19,24,18
ATRN,13859,10191,10602,8814,5253,8162,8030,10839,12049,9904,10535,10384,10973,11452,14601,7257,12546,11340,16791,16281,14778,10947,15911,16960
ATRNL1,150,126,155,190,130,216,487,647,809,567,563,553,300,313,471,456,714,817,566,696,460,402,674,626
ATRX,2940,3902,4871,3203,2141,4287,279,1324,4043,2937,4680,4697,2109,2313,4498,2177,3814,2752,1587,2269,2252,1388,3119,3773
ATXN1,1067,860,933,1354,549,932,655,925,525,1046,1106,1234,1749,1839,2708,906,2512,2548,1523,1543,1385,1688,1922,2571
ATXN1-AS1,86,81,92,58,44,86,62,80,172,74,109,76,255,241,352,165,448,354,149,160,144,106,170,172
ATXN10,4220,3053,3103,4098,2280,4195,8182,9454,4465,8654,7749,7841,4054,3822,5290,4172,5195,5041,3650,2934,2904,6020,2658,7044
ATXN1L,6331,4594,4822,4197,2710,4317,4775,5868,2366,3259,3016,3195,5386,5199,7528,2939,4207,4269,2933,2485,2631,2420,2800,2963
ATXN2,4549,3532,3381,4426,3104,5507,2056,2968,1748,2132,2220,2203,2502,2330,3884,1877,2908,2750,2877,2678,2366,2633,2285,3426
ATXN2-AS,19,10,16,28,29,41,10,18,10,7,9,5,8,22,14,10,16,22,7,5,11,19,23,3
ATXN2L,19261,14963,16433,23032,14899,23966,15004,18131,8582,10706,8897,9111,17278,16949,26341,11667,16810,18623,12964,11192,14308,11125,7900,11423
ATXN3,702,613,584,888,431,788,333,507,318,394,502,418,634,648,952,371,574,458,1587,1640,1230,420,602,572
ATXN3L,55,83,139,5,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATXN7,2333,1952,1862,2540,1871,3237,1712,2851,1604,2024,2565,2632,1470,1421,2106,979,1804,1736,4164,4349,3535,3623,3925,6714
ATXN7L1,751,613,579,431,184,362,417,503,348,450,503,404,1622,1557,2419,926,1521,1410,710,691,611,604,784,920
ATXN7L2,1353,1039,1257,1289,922,1397,341,415,341,318,326,264,299,277,392,221,400,527,672,659,759,521,656,494
ATXN7L3,9928,7340,7865,9305,5376,7958,6385,7523,4773,5581,4906,4832,4425,3904,5937,3425,4475,4630,4257,3365,3789,3335,3319,3129
ATXN7L3-AS1,161,136,182,115,46,76,80,140,312,72,57,70,63,48,92,38,42,59,154,126,181,35,97,36
ATXN7L3B,13127,9517,9643,10916,5799,9041,5724,6325,3298,5073,4767,4706,6276,5826,7767,3136,3967,3683,4360,3605,3816,3315,3048,3577
ATXN8OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUH,1863,1374,1637,1072,673,989,1035,1398,1014,825,1082,1072,1569,1593,2013,811,1436,1194,1346,1215,1118,505,828,622
AUNIP,465,313,301,1008,683,1138,351,408,83,369,307,313,139,105,224,276,371,394,84,64,66,690,322,758
AUP1,10578,7759,9268,7272,4171,6031,5473,6431,7145,5459,4525,4306,6322,6342,8509,6175,7362,8240,5915,5197,5831,8879,1680,8603
AURKA,3113,2141,1967,9890,7462,13100,6624,7881,2791,9547,5977,7462,1195,985,2259,4986,7306,7132,448,285,353,11486,1789,13370
AURKAIP1,12650,8988,9191,14672,8621,12672,10758,13286,5441,9779,7623,7101,4473,4469,5275,6844,9112,10400,8517,5921,7453,21032,11808,14799
AURKAP1,190,127,159,154,114,215,112,122,91,86,81,81,60,56,92,62,76,88,41,41,31,135,48,119
AURKB,1776,1194,1065,7032,5928,9430,2899,3352,1594,4700,2612,2991,1554,1371,2443,4223,5650,6563,94,74,83,4134,975,5078
AURKC,17,18,11,10,9,10,13,15,10,7,3,9,8,11,25,35,20,35,51,19,34,21,45,26
AUTS2,163,106,117,132,74,183,17,28,20,6,5,4,1964,1791,2637,546,1174,1341,1501,1276,1486,1095,527,1685
AVEN,1794,1300,1490,1276,846,1465,1099,1448,909,916,846,921,901,767,1106,629,882,869,490,436,437,628,444,812
AVIL,250,215,193,194,72,80,71,82,62,34,23,37,192,209,303,12,64,63,356,398,413,71,179,48
AVL9,3669,2821,2786,3453,2381,4057,3581,4942,2508,4516,4913,4768,3029,2918,4493,4382,6640,5910,3120,2900,2462,3084,3289,4560
AVP,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0
AVPI1,1895,1421,1353,3311,1711,2420,6749,8244,2420,3716,3003,2671,3737,3396,4334,1955,2303,2475,1402,1133,1314,2955,1363,2006
AVPR1A,12,3,5,0,0,0,0,1,0,0,0,0,25,13,39,3,10,6,2,0,0,0,0,1
AVPR1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVPR2,382,296,302,198,150,180,2,7,2,2,0,0,52,55,60,14,54,57,6,7,8,2,3,7
AWAT1,0,1,0,0,0,0,0,3,1,0,0,0,5,4,5,0,0,2,1,2,4,0,3,0
AWAT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AXDND1,27,12,18,13,8,15,11,11,4,1,0,5,8,6,9,5,7,6,19,11,14,6,14,10
AXIN1,3807,2985,3139,5312,3233,5248,4939,5659,2602,3928,3177,3138,3490,3507,4866,3243,3886,4324,4596,3586,4494,3577,2977,3658
AXIN2,32,22,21,8,12,9,353,427,100,158,180,145,27,22,36,23,19,20,533,459,417,204,23,157
AXL,14882,10670,10192,33925,35327,60960,192,222,11,193,84,25,52,59,121,214,2979,2688,27,34,39,107,22,101
AZGP1,1832,1320,1998,845,214,287,135,100,56,110,84,55,534,586,865,224,243,201,550,387,418,132,274,176
AZGP1P1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
AZI2,784,668,713,1095,600,924,687,1078,409,833,871,856,496,498,712,415,714,662,518,365,338,593,390,786
AZIN1,10759,7518,7854,16373,10949,15481,6576,7808,2256,6930,6887,6658,5152,4817,6821,4816,7501,6213,12805,9856,8164,13597,15902,18139
AZIN2,1455,1129,1261,463,324,585,488,643,620,365,371,345,505,626,826,436,602,558,1584,1367,1655,395,569,495
AZU1,15,8,6,0,3,1,1,0,0,0,0,0,3,3,1,0,1,5,0,0,3,0,4,0
B2M,47453,34393,35604,27476,11988,17279,16449,18282,27849,15975,13519,12993,52569,54451,61117,18894,18732,17595,15783,11801,11836,14291,17664,14788
B3GALNT1,0,0,0,0,0,0,0,0,0,0,0,0,420,377,507,364,395,320,571,500,394,898,844,1364
B3GALNT2,2357,1686,1716,2416,1470,2561,1500,2152,1431,1551,1556,1565,772,772,1325,896,1479,1459,768,680,666,898,685,1175
B3GALT1,2933,2337,2234,2379,1553,3091,185,298,477,296,412,417,40,45,46,15,24,35,485,450,345,144,438,270
B3GALT1-AS1,42,24,30,2,0,4,0,1,7,1,2,3,29,29,54,6,16,29,1,5,0,1,1,4
B3GALT2,86,78,55,34,81,149,20,37,45,13,24,20,11,4,14,14,18,14,4,8,7,6,12,18
B3GALT4,114,55,65,79,29,42,40,49,130,29,44,28,89,72,121,107,255,254,1,2,3,4,2,0
B3GALT5,63,48,48,114,101,132,0,0,0,2,0,0,0,0,0,0,0,1,50,42,45,559,84,1323
B3GALT5-AS1,7,8,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,14,1,22
B3GALT6,5046,3632,3876,3549,1978,2998,2101,2475,2466,2046,1488,1578,2377,2498,3294,2146,2971,3463,5735,4987,5720,4999,4071,4252
B3GALT9,679,492,516,652,333,459,587,646,318,522,509,413,342,379,521,171,278,209,291,247,231,244,291,219
B3GAT1,337,236,288,3136,1536,1946,1443,1727,571,2458,1929,2022,3841,3770,5199,6250,6190,6663,795,680,848,129,71,149
B3GAT1-DT,1,0,0,19,4,2,1,6,7,13,14,16,26,23,31,91,95,64,2,0,7,5,1,0
B3GAT2,15,11,16,9,6,24,7,13,13,12,9,11,6,11,6,12,7,2,14,6,9,8,1,4
B3GAT3,13993,10345,10540,6197,3275,4591,5765,7168,5164,5933,4473,3880,3050,3113,4205,4022,5863,6718,2871,2256,2861,4154,3758,3834
B3GLCT,1015,720,618,1312,812,1428,1420,1985,2977,1948,1915,2025,527,498,539,782,1230,1113,572,531,420,914,710,1459
B3GNT2,1300,1009,959,1135,577,907,813,1033,1265,1186,1112,1093,1139,1118,1378,1152,1442,1149,986,857,728,1377,1269,1780
B3GNT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,51,102,0,0,0,1,2,0
B3GNT4,82,49,64,53,31,63,32,35,30,10,21,12,32,27,61,33,71,60,132,121,124,47,48,53
B3GNT5,86,85,133,503,301,590,155,333,189,421,715,704,3,0,0,0,0,2,129,141,89,398,441,1307
B3GNT6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
B3GNT7,363,295,246,4213,1724,2411,890,1182,1348,9117,8638,9626,39,52,75,12,46,40,141,97,142,21,69,10
B3GNT8,13,16,17,20,3,13,1,0,11,0,0,10,11,9,35,2,14,14,19,6,16,1,4,0
B3GNT9,196,154,144,65,21,36,110,137,195,90,77,87,722,690,884,284,473,546,301,299,353,61,201,52
B3GNTL1,544,426,484,806,589,985,388,464,260,320,251,270,129,142,218,134,216,240,241,172,246,247,317,220
B4GALNT1,719,537,506,2160,1367,2293,195,220,123,117,114,104,1276,1376,2086,1623,3243,3841,45,42,60,28,11,40
B4GALNT2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0
B4GALNT3,810,609,776,409,241,556,613,850,84,325,272,239,11,5,7,10,24,19,421,452,545,329,342,604
B4GALNT4,2450,1783,1629,2531,1307,2557,10,11,77,50,83,46,527,546,1338,925,2083,2132,387,345,455,27,49,11
B4GALT1,8004,5666,5489,3055,2264,3622,3228,3759,1822,2751,2396,2167,2218,2314,3546,2179,4996,4944,2879,2524,2637,5160,4217,6383
B4GALT1-AS1,2,9,11,0,2,4,2,6,2,8,2,5,4,7,15,2,3,3,5,4,12,13,6,8
B4GALT2,2918,1989,2150,5679,3581,6081,3672,4532,2296,2959,2298,2467,3827,3849,5222,3519,4412,5559,3344,2680,3124,3860,1188,3607
B4GALT3,3066,2463,2485,4156,2490,3964,4162,5025,5792,4352,3724,3564,1896,1843,2749,2309,2626,3054,1692,1338,1386,2019,2191,1858
B4GALT4,1462,1122,1084,1315,732,1281,1625,2050,1694,1939,1703,1573,1412,1554,2111,2091,2444,2294,2276,2019,1736,3002,3117,3431
B4GALT4-AS1,2,0,0,3,0,2,0,2,0,0,2,0,3,1,4,0,0,0,3,0,2,7,2,0
B4GALT5,16915,12594,11464,11314,6423,9708,8345,9996,9897,7366,5973,5949,4726,4533,6650,5445,8828,8856,5874,5125,5585,11234,7036,13505
B4GALT6,1267,1016,1136,2444,1261,2297,762,1245,1050,2031,3226,3040,844,939,1173,2535,4534,3431,770,707,462,2758,2017,6097
B4GALT7,2869,1987,2120,1937,1237,1641,1508,1826,1821,1566,1150,1011,1501,1612,2085,1151,1973,2241,2174,1918,2453,2721,1326,2726
B4GAT1,3749,2847,2826,2596,1434,2473,2729,3378,4405,2648,2398,2058,3133,3175,4326,3638,5340,5665,5748,5080,5225,2693,3567,2940
B4GAT1-DT,25,24,22,40,17,19,9,13,20,19,9,11,17,21,23,23,42,47,42,21,27,30,31,22
B9D1,1687,1331,1405,1112,645,1089,537,634,445,496,476,435,724,782,1003,494,880,871,1106,891,1129,677,685,687
B9D2,231,191,191,232,116,193,62,51,24,61,80,36,60,69,78,63,71,103,102,63,75,101,109,66
BAALC,1895,1387,1472,119,43,57,3,0,0,0,7,5,2,7,0,8,1,2,34,38,24,11,91,33
BAALC-AS1,25,11,16,8,4,6,1,2,2,1,0,9,4,2,7,2,7,5,41,28,37,14,14,11
BAALC-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
BAAT,11,14,14,6,5,5,3364,4818,4903,4272,5723,5364,3,4,2,4,1,2,3,9,3,26,9,60
BABAM1,13245,9812,10535,12364,6557,10200,5852,6812,3019,5253,4416,3827,2491,2559,3163,2517,3352,3879,3617,2759,3311,6503,3069,5363
BABAM2,3166,2333,2444,2334,1266,1957,1693,2016,773,1185,978,978,1439,1339,1829,769,1149,1202,1848,1355,1421,2070,1074,2038
BABAM2-AS1,9,5,12,5,10,18,9,20,7,6,6,6,23,9,15,18,25,10,39,22,22,11,27,11
BACE1,12018,9474,10481,6115,3799,4945,1723,2167,1578,1521,1354,1351,2746,2560,3352,1350,1676,1722,1854,1609,1658,479,491,609
BACE1-AS,93,78,96,82,60,79,14,26,30,24,13,14,28,58,59,38,43,46,65,62,44,22,21,37
BACE2,13207,9879,10093,12035,5927,8357,13972,17557,18016,15428,14329,15072,20269,20426,24334,14233,18515,17938,24786,21145,21501,23088,16940,27782
BACH1,1102,1086,1165,2179,1103,1961,537,1015,446,844,1307,1315,990,891,1360,685,1601,1480,1146,1229,929,1453,1778,3261
BACH1-IT2,3,3,1,3,1,13,2,6,8,2,4,5,9,4,11,0,3,2,3,2,2,4,2,17
BACH1-IT3,0,0,0,0,0,2,0,0,0,0,1,0,2,0,3,2,0,0,0,1,0,4,0,0
BACH2,134,55,65,124,69,133,66,63,26,15,46,20,389,385,663,155,267,214,116,122,88,87,48,155
BAD,2810,2112,1979,2923,1558,2571,1189,1539,772,1501,1123,1040,930,842,1125,866,1439,1692,1327,897,1120,1330,512,1048
BAG1,5136,3307,3977,3977,2238,3056,6474,7761,3043,2960,2758,2609,3387,3183,3955,2534,2812,2739,1146,757,917,856,869,774
BAG2,1694,1208,1212,2015,1412,2546,2038,2577,684,2382,2198,2107,885,822,1135,1597,2241,2399,247,274,235,1442,516,1650
BAG3,3550,2734,2640,11073,5835,7917,2681,3407,1697,3713,3014,3043,1482,1363,2367,3426,5809,6598,2133,1754,2026,5631,1828,5481
BAG4,747,591,566,1104,651,1119,766,1293,459,1103,1348,1243,882,698,1228,726,1183,1008,959,906,663,966,1101,1318
BAG5,2289,1782,1590,2585,1743,2939,1856,2832,1028,2050,2447,2247,1604,1426,2165,1358,2286,1907,864,732,586,1830,607,2286
BAG6,19750,15261,15582,20356,11259,16823,21343,26276,19423,21032,16638,17019,16921,16229,23026,13864,18692,20896,11434,9518,10628,14486,9826,12782
BAGE2,2423,1984,2128,2393,1590,2207,398,506,335,356,480,392,1397,1470,2072,887,1484,1429,347,358,309,209,218,351
BAHCC1,5236,3939,4248,3879,2643,4196,9019,11973,20669,6323,7152,8100,32976,32607,45840,9026,10652,10077,11920,11534,13949,4068,3927,4792
BAHD1,4555,3412,3504,4693,3054,4149,3477,4423,2162,3427,2959,2894,4047,3687,5152,2407,3399,3841,5406,4550,5483,3483,3160,3241
BAIAP2,4039,3270,3288,2859,1618,2589,3367,3989,2430,2814,2155,1885,1380,1249,1586,753,1170,1303,3428,2883,3487,2020,2076,1806
BAIAP2-DT,2183,1484,1442,1743,761,1139,1592,2023,1304,1492,1319,1335,1485,1500,1811,883,1718,1830,2424,2003,2321,1384,1042,1034
BAIAP2L1,315,179,207,2266,1273,1892,1616,2005,1878,3134,2658,2614,1677,1624,2348,2464,4073,4154,7624,6633,6707,6124,3544,6922
BAIAP2L2,878,759,817,1542,1016,1678,287,488,551,936,636,889,725,745,1028,892,1124,1498,1043,832,1107,5005,1657,4270
BAIAP3,49,28,20,47,19,25,23,35,35,42,53,40,13,38,34,212,273,331,282,251,311,37,99,24
BAK1,2522,1721,1723,2147,1280,2057,5418,6525,2654,3859,3278,3313,2060,1939,2656,2009,2401,2616,794,577,681,1568,702,1398
BALR6,29,38,28,27,13,50,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0
BAMBI,3348,2751,2400,3926,1354,1714,21067,24146,34678,18644,16002,15295,11300,11090,13529,12790,15984,15836,6065,5226,5716,14092,10939,13876
BANCR,1016,783,962,23,6,10,47,52,6,25,65,25,84,82,102,211,112,105,27,9,16,20,35,9
BANF1,14674,9869,9735,22509,12836,19169,11831,13788,4190,10459,7514,7556,6597,6272,7221,8660,11020,11612,3292,2209,2281,8138,3107,6527
BANF2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0
BANK1,62,26,8,4,4,7,5,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,5,0
BANP,2079,1648,1654,1777,1077,1772,1198,1429,771,988,689,753,1819,1732,2371,1358,1752,1848,1185,914,1017,1114,622,1080
BAP1,14609,10670,11123,10215,6084,9968,17808,21688,9241,13375,10562,11328,9781,9638,13071,6933,9116,10140,7643,6025,6990,7719,5891,6864
BARD1,203,170,147,779,611,1043,504,806,228,533,588,493,394,342,561,591,1126,966,131,102,89,883,237,1858
BARHL1,1,5,10,6,1,8,6,10,4,1,0,5,5,4,3,0,1,4,0,0,5,0,0,0
BARHL2,3,2,4,3,0,7,0,0,0,0,0,0,54,51,56,172,163,197,92,84,111,78,24,63
BARX1,714,437,398,1712,1047,1576,15,14,1,1,0,1,55,60,56,5,6,0,33,14,17,41,19,36
BARX1-DT,8,1,1,3,1,6,0,0,0,0,0,0,1,3,8,0,0,0,1,0,0,1,0,2
BARX2,4,2,5,248,63,49,19,19,6,4,0,4,3044,2781,4126,892,1080,982,10,15,10,4,3,10
BASP1,468,235,190,27,13,28,11,15,0,4,0,0,20,9,16,9,93,94,50,33,36,92,16,118
BASP1-AS1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,1,0,0,0,0,1,0,1,0
BASP1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATF,0,0,0,0,0,0,16,1,5,3,0,4,225,183,223,195,163,170,2,0,0,1,0,2
BATF2,253,193,163,153,72,96,44,55,27,103,98,85,22,16,31,3,38,55,52,28,45,95,213,68
BATF3,106,73,93,375,157,224,428,529,48,315,282,219,111,91,156,460,980,968,17,39,29,48,5,25
BAX,13694,9339,10601,10212,5392,8021,5406,6676,2650,5633,4405,4072,6277,5854,7381,9245,14312,15618,2675,2001,2570,5641,2292,4858
BAZ1A,2268,2326,2613,2910,1937,4593,358,1032,802,1936,2479,2416,1248,1247,2040,1632,2341,2378,656,653,569,1496,1730,3140
BAZ1A-AS1,105,85,87,67,40,66,62,35,23,46,54,39,73,73,88,63,70,68,59,43,34,37,21,44
BAZ1B,11690,9274,9111,16725,12204,22728,7623,15391,7563,14927,17156,17776,16020,14260,22362,20077,35728,34873,2601,2627,2159,4500,2489,8034
BAZ2A,16168,12424,13026,12064,8562,14641,8090,10250,6273,8318,9655,9305,11549,11235,17154,9478,14035,13928,8349,7858,8771,7150,5479,8289
BAZ2B,536,532,640,559,308,473,67,317,1574,977,1981,2011,662,662,1108,508,910,749,525,667,637,376,1374,845
BAZ2B-AS1,12,13,22,21,6,13,7,3,11,9,13,6,15,19,15,9,10,7,8,10,7,10,2,11
BBC3,2300,1624,1736,1003,528,890,1876,2404,2371,1183,1059,1083,4379,4263,5044,859,1390,1527,4170,3721,4720,430,2829,292
BBIP1,976,822,887,1079,655,1090,595,742,221,500,496,472,345,371,475,324,491,408,441,393,323,701,513,695
BBLN,4756,3593,3632,3623,1194,1644,1820,2063,1014,2182,1508,1560,1135,1068,1410,690,837,1047,1371,995,1340,1197,1131,919
BBOF1,89,82,96,92,23,57,52,64,49,58,53,30,73,84,125,18,27,32,128,142,137,50,65,62
BBOX1,20,24,24,0,0,0,0,0,0,2,1,1,0,0,0,0,5,6,2,1,0,0,2,0
BBOX1-AS1,46,48,33,0,1,5,5,13,2,5,3,5,1,1,4,0,2,7,4,3,7,1,8,7
BBS1,3156,2403,2612,1463,675,1040,813,1095,813,482,357,359,1662,1647,1968,470,814,879,1805,1441,1761,506,320,545
BBS10,1707,1427,1408,1127,732,1341,373,692,642,526,819,710,923,903,1205,450,1037,691,357,340,180,247,428,464
BBS12,473,396,500,500,192,301,138,202,127,303,399,350,248,271,362,172,290,241,194,174,123,216,370,241
BBS2,2747,1880,2038,2667,1581,2294,1271,1492,1071,1022,875,907,1530,1497,1938,1051,2188,1995,2778,2488,2158,1068,1841,1343
BBS4,2076,1557,1522,1664,822,1185,1072,1408,1006,1251,1204,1055,1377,1353,2031,1235,1815,1702,1774,1683,1452,1377,1371,1568
BBS5,487,387,393,365,244,293,2603,3154,2792,2094,1875,1593,3912,3862,4212,1380,1481,1203,5979,5403,5180,2573,2885,2900
BBS7,776,664,678,773,493,989,595,1053,358,649,768,831,369,435,520,344,602,547,535,601,396,1015,700,1552
BBS9,609,472,480,552,294,451,516,665,472,481,503,533,1604,1507,2005,941,1024,890,1855,1684,1361,684,1192,889
BBX,7485,7256,7169,5049,3468,6866,1237,3391,2358,3449,6156,5871,3018,3022,4537,2576,5387,4648,2305,2628,1891,2520,3001,5197
BCAM,4107,2916,1929,1191,1041,2436,237,271,164,176,158,116,167,174,281,475,1962,2093,2593,2100,2455,414,699,454
BCAN,5149,3758,3450,18487,8553,8878,10642,14703,38679,5322,4723,4558,75154,76223,74574,6277,8299,8139,5697,5113,5857,193,610,72
BCAP29,22,32,39,34,19,63,38,100,95,79,65,90,86,73,106,109,140,123,68,41,67,42,63,64
BCAP31,30749,22021,21715,29103,17122,24779,23214,26864,33199,28813,22363,20400,10080,10401,11318,10419,12562,12869,14620,12203,12499,19277,9358,18091
BCAR1,7012,5104,4892,5243,3359,5037,2944,3792,1878,2572,1974,2094,4063,3989,5437,2862,5634,7171,4765,4153,5295,10533,3923,10660
BCAR3,2857,2038,1974,5578,4481,6761,1331,1593,1325,945,875,856,982,876,1512,1131,2286,2782,4005,3276,3483,3403,1676,3802
BCAR3-AS1,5,8,11,3,14,23,0,2,13,0,0,0,6,4,13,6,8,9,20,27,20,10,14,8
BCAR4,0,1,0,2,1,1,2,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0
BCAS1,2,0,0,0,3,3,14,15,0,3,0,0,12,5,8,2,4,7,28,20,28,0,6,5
BCAS2,1762,1416,1433,3022,1621,2750,1618,2270,498,1874,1688,1669,804,783,1045,1017,1548,1480,1355,938,762,3908,2074,4562
BCAS3,1839,1507,1532,2140,852,1061,7207,8783,4021,10184,8479,8486,8438,7881,9838,11886,13001,14219,6599,4604,5723,12451,5875,10341
BCAS4,321,237,198,459,264,353,258,258,118,340,303,305,245,227,232,453,611,502,186,135,179,43,9,64
BCAT1,4236,3649,3447,2125,3243,7556,0,0,0,0,0,0,898,925,1452,345,574,514,4,2,1,1,4,1
BCAT2,2937,1947,1894,4352,2804,4572,1017,1168,939,1938,1482,1522,534,453,796,847,1322,1443,1682,1387,1734,1821,564,1917
BCCIP,4147,3092,3415,7399,4990,8028,2665,3710,1013,3437,3077,2891,1829,1704,2298,2335,3337,3225,1576,1284,1167,4036,1638,4095
BCDIN3D,491,434,372,250,140,204,145,196,136,143,184,136,237,240,262,118,161,192,141,99,125,92,71,45
BCDIN3D-AS1,144,87,101,82,36,69,63,82,57,53,44,55,186,196,278,77,149,101,104,86,85,36,84,47
BCHE,480,391,358,261,119,264,333,568,690,635,1003,916,4,1,4,7,18,12,336,278,190,2311,3725,7057
BCKDHA,4863,3416,3821,4422,2360,3271,711,737,636,983,811,816,1232,1094,1461,529,989,1064,3127,2324,2763,2364,2686,1988
BCKDHB,958,769,654,576,447,769,670,925,686,641,817,795,426,388,481,245,461,370,1004,981,719,723,994,970
BCKDK,4371,3028,3312,5931,3447,5334,4717,5773,3376,3836,3277,3087,4197,3986,5699,4128,4764,6224,2608,2061,2572,3271,1362,2642
BCL10,807,583,614,929,397,588,835,1053,753,772,933,815,454,449,630,372,546,464,466,335,296,698,575,952
BCL10-AS1,5,6,2,12,3,8,3,2,1,6,2,0,2,0,0,0,2,2,5,7,5,1,3,7
BCL11A,61,41,24,60,16,66,6,6,0,0,6,0,296,267,471,135,217,247,99,97,101,35,93,22
BCL11B,2,6,3,8,1,3,0,0,0,2,0,0,21,22,42,10,24,29,0,2,2,0,0,0
BCL2,340,269,286,464,439,732,849,1396,499,717,848,803,2767,2723,3382,1094,1830,1619,770,698,579,860,705,1448
BCL2A1,870,587,948,698,67,54,371,410,75,310,358,325,2829,2824,3642,2767,2653,2681,2846,2229,2166,6278,1216,5987
BCL2L1,1921,1350,1423,2257,2235,3730,1542,1830,1436,1745,1520,1343,2239,2086,2658,2013,2599,2699,1730,1341,1478,1407,843,1251
BCL2L1-AS1,98,80,98,115,80,160,37,44,111,56,35,34,123,181,324,79,131,115,74,98,70,107,313,138
BCL2L10,3,2,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,4,3
BCL2L11,1998,1417,1308,848,506,792,1005,1226,1875,1562,1400,1632,666,570,947,624,571,557,3450,2989,2752,837,1182,1014
