geneID,A375_8day_rep1,A375_8day_rep2,A375_8day_rep3,A375_0day_rep1,A375_0day_rep2,A375_0day_rep3,WM88_8day_rep1,WM88_8day_rep2,WM88_8day_rep3,WM88_0day_rep1,WM88_0day_rep2,WM88_0day_rep3,SKMEL5_8day_rep1,SKMEL5_8day_rep2,SKMEL5_8day_rep3,SKMEL5_0day_rep1,SKMEL5_0day_rep2,SKMEL5_0day_rep3,SKMEL28_8day_rep1,SKMEL28_8day_rep2,SKMEL28_8day_rep3,SKMEL28_0day_rep1,SKMEL28_0day_rep2,SKMEL28_0day_rep3
ABCA11P,251,200,155,214,184,281,100,183,121,146,174,153,88,91,148,54,103,73,107,94,80,68,64,67
ABCA12,31,15,29,20,4,5,0,0,0,2,0,0,20,12,27,2,31,17,26,24,15,105,98,237
ABCA13,45,61,30,85,45,103,10,40,121,249,429,551,1,2,5,44,48,38,6,8,5,30,46,45
ABCA17P,25,29,38,23,15,27,22,20,15,19,20,18,11,6,12,13,26,33,26,23,37,11,13,6
ABCA2,9226,7197,7514,7556,3769,5581,4865,6228,9315,4812,4397,4678,2270,2189,4080,2559,4710,5157,9192,8763,11265,4406,5236,5334
ABCA3,157,126,167,162,28,57,25,12,26,4,8,4,284,304,497,493,946,879,877,840,1010,43,27,25
ABCA4,20,15,9,0,0,3,3,3,2,3,4,1,2,6,4,4,8,15,0,1,2,9,11,25
ABCA5,547,535,801,460,193,344,453,873,2606,732,1071,1030,2178,2289,3489,899,1127,833,2861,3360,2480,1074,3802,2831
ABCA6,19,15,40,156,37,71,1,1,8,3,2,3,32,16,26,0,1,0,47,37,42,6,111,12
ABCA7,2047,1612,1811,527,275,386,1001,1377,2958,1003,941,966,620,660,814,294,509,473,2634,2561,3438,1180,4106,1286
ABCA8,223,190,237,283,76,143,151,346,214,120,189,157,111,108,113,18,35,30,12,8,6,3,55,6
ABCA9,31,13,20,11,4,2,7,4,14,1,3,1,207,269,294,8,20,19,49,82,66,3,137,15
ABCA9-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ABCB1,514,443,320,335,156,270,49,69,33,22,28,17,36,20,45,39,54,37,1,3,1,0,2,1
ABCB10,3180,2435,2113,2448,2260,4150,1255,2031,1600,1643,1800,1673,632,663,914,983,1508,1505,1418,1322,1067,1477,675,2170
ABCB11,0,0,0,0,0,1,0,0,1,11,5,3,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,2875,2120,1901,228,74,205,466,623,655,255,250,253,114,113,162,99,202,117,39,37,28,12,42,53
ABCB5,2600,2021,1896,0,0,0,7837,10867,11969,4570,6192,5519,3211,3038,3051,25,14,13,2995,2868,2433,457,234,443
ABCB6,4023,3198,3460,2597,1923,2802,11097,13565,13106,6238,5939,5340,8943,9246,11933,4797,6211,6732,16164,15203,18018,7748,13705,7956
ABCB7,1852,1352,1407,1984,1210,2147,929,1194,1055,952,986,996,1504,1420,1955,1375,1861,1473,661,602,535,1011,316,1319
ABCB8,2995,2461,2350,2621,1514,2431,2932,3493,4645,2570,2180,2198,7049,7617,9706,5908,8429,9116,4898,4171,5363,4233,2625,4129
ABCB9,3493,2782,2338,1919,934,1516,876,1207,1429,948,879,848,634,647,976,735,1493,1808,771,681,878,1593,650,1456
