reg_id,spikes
E13_1,0
E13_102,1
E13_105,0
E13_106,0
E13_109,1
E13_11,0
E13_110,1
E13_111,1
E13_112,0
E13_113,1
E13_115,0
E13_116,0
E13_118,1
E13_119,1
E13_120,1
E13_121,0
E13_123,0
E13_125,1
E13_126,0
E13_129,0
E13_13,1
E13_131,1
E13_133,1
E13_134,1
E13_135,1
E13_136,0
E13_139,1
E13_140,1
E13_142,0
E13_144,0
E13_145,0
E13_146,0
E13_147,0
E13_15,0
E13_16,0
E13_17,0
E13_18,0
E13_19,0
E13_2,0
E13_20,0
E13_21,1
E13_22,0
E13_23,0
E13_24,0
E13_25,0
E13_28,0
E13_29,0
E13_3,0
E13_33,1
E13_35,1
E13_36,0
E13_37,0
E13_38,0
E13_4,1
E13_40,1
E13_41,1
E13_43,1
E13_44,0
E13_45,1
E13_46,0
E13_47,1
E13_48,0
E13_5,0
E13_50,1
E13_51,0
E13_53,0
E13_54,1
E13_55,1
E13_6,0
E13_61,1
E13_62,1
E13_63,0
E13_64,0
E13_67,1
E13_68,1
E13_7,0
E13_70,0
E13_71,0
E13_72,0
E13_75,1
E13_77,0
E13_79,1
E13_8,0
E13_80,0
E13_82,1
E13_83,1
E13_84,1
E13_85,1
E13_87,0
E13_88,1
E13_9,1
E13_90,1
E13_92,1
E13_93,1
E13_94,1
E13_95,1
E13_96,1
E13_97,1
E13_98,0
E13_99,0
F13_1,0
F13_10,0
F13_100,1
F13_101,0
F13_102,1
F13_104,1
F13_105,0
F13_107,0
F13_109,1
F13_11,0
F13_110,1
F13_112,0
F13_113,1
F13_114,0
F13_115,0
F13_116,0
F13_117,1
F13_12,1
F13_123,1
F13_126,1
F13_13,0
F13_130,1
F13_132,1
F13_134,0
F13_136,1
F13_137,0
F13_138,1
F13_139,0
F13_14,0
F13_141,0
F13_142,1
F13_143,1
F13_144,1
F13_145,1
F13_147,0
F13_150,1
F13_151,1
F13_152,1
F13_153,0
F13_16,0
F13_17,1
F13_18,0
F13_2,0
F13_22,1
F13_23,1
F13_24,1
F13_25,0
F13_26,1
F13_27,0
F13_29,1
F13_3,1
F13_33,1
F13_34,1
F13_35,1
F13_36,0
F13_37,0
F13_38,0
F13_41,1
F13_42,1
F13_43,0
F13_47,1
F13_48,0
F13_49,0
F13_50,1
F13_51,0
F13_52,0
F13_53,0
F13_54,0
F13_56,1
F13_59,0
F13_6,0
F13_61,0
F13_62,0
F13_63,0
F13_64,0
F13_67,1
F13_68,1
F13_7,0
F13_70,0
F13_73,0
F13_76,1
F13_77,1
F13_78,1
F13_79,1
F13_8,0
F13_81,0
F13_82,1
F13_83,1
F13_84,0
F13_85,1
F13_86,1
F13_88,1
F13_90,1
F13_91,1
F13_92,1
F13_93,1
F13_95,1
F13_96,1
F13_97,1
F13_98,0
G13_10,0
G13_100,1
G13_105,1
G13_108,1
G13_110,0
G13_111,0
G13_115,0
G13_12,0
G13_121,0
G13_122,0
G13_123,0
G13_126,0
G13_128,0
G13_129,0
G13_130,0
G13_132,0
G13_134,0
G13_136,1
G13_138,0
G13_14,1
G13_140,0
G13_142,0
G13_144,0
G13_145,0
G13_15,1
G13_153,1
G13_156,0
G13_157,1
G13_158,1
G13_16,0
G13_160,0
G13_162,0
G13_163,1
G13_17,1
G13_172,0
G13_174,1
G13_175,1
G13_178,0
G13_179,1
G13_182,0
G13_183,0
G13_187,1
G13_189,1
G13_19,1
G13_190,0
G13_191,0
G13_192,0
G13_193,1
G13_194,1
G13_195,0
G13_198,0
G13_200,0
G13_201,0
G13_204,1
G13_207,1
G13_209,1
G13_210,1
G13_212,1
G13_215,0
G13_218,1
G13_23,0
G13_26,0
G13_27,1
G13_28,1
G13_30,0
G13_34,0
G13_38,1
G13_4,0
G13_40,1
G13_41,1
G13_42,0
G13_44,1
G13_45,1
G13_46,0
G13_47,1
G13_48,0
G13_5,0
G13_51,1
G13_57,0
G13_58,1
G13_59,1
G13_60,1
G13_61,1
G13_64,1
G13_65,1
G13_7,0
G13_71,1
G13_72,1
G13_74,1
G13_79,0
G13_80,0
G13_87,0
G13_89,1
G13_9,0
G13_92,0
G13_93,0
G13_94,1
G13_95,0
G13_96,1
G13_97,1
H13_1,0
H13_10,0
H13_101,1
H13_103,1
H13_105,0
H13_107,1
H13_108,0
H13_11,0
H13_110,0
H13_113,0
H13_114,0
H13_115,1
H13_117,1
H13_119,1
H13_12,1
H13_120,0
H13_121,1
H13_122,1
H13_124,1
H13_125,1
H13_126,1
H13_128,0
H13_129,1
H13_130,1
H13_131,1
H13_132,1
H13_133,1
H13_134,1
H13_136,0
H13_14,0
H13_144,0
H13_147,0
H13_148,0
H13_149,1
H13_152,1
H13_155,0
H13_157,0
H13_158,0
H13_159,1
H13_160,1
H13_161,0
H13_23,0
H13_24,1
H13_25,0
H13_27,1
H13_28,0
H13_32,0
H13_33,0
H13_35,0
H13_36,1
H13_37,0
H13_39,1
H13_4,0
H13_43,0
H13_44,1
H13_45,1
H13_46,0
H13_47,0
H13_48,1
H13_49,1
H13_5,1
H13_50,0
H13_51,1
H13_52,1
H13_53,1
H13_55,0
H13_56,0
H13_57,0
H13_58,0
H13_6,0
H13_60,1
H13_61,0
H13_62,1
H13_66,0
H13_67,1
H13_68,0
H13_69,1
H13_72,0
H13_73,0
H13_74,0
H13_75,0
H13_76,1
H13_78,1
H13_79,0
H13_80,0
H13_81,1
H13_82,0
H13_83,1
H13_85,1
H13_87,0
H13_88,0
H13_89,0
H13_9,0
H13_91,1
H13_92,0
H13_93,0
H13_94,1
H13_95,1
H13_96,1
H13_99,1
I13_10,0
I13_100,0
I13_101,1
I13_102,0
I13_104,1
I13_105,0
I13_106,0
I13_107,0
I13_109,1
I13_110,0
I13_111,0
I13_112,1
I13_113,0
I13_114,1
I13_115,0
I13_117,0
I13_118,0
I13_119,1
I13_121,0
I13_122,0
