reg_id,spikes
I13_124,0
I13_125,0
I13_127,1
I13_128,1
I13_13,1
I13_130,0
I13_131,0
I13_133,0
I13_137,0
I13_14,0
I13_141,1
I13_142,0
I13_143,0
I13_144,1
I13_145,0
I13_147,1
I13_148,1
I13_15,0
I13_150,1
I13_16,1
I13_17,0
I13_20,0
I13_21,0
I13_22,0
I13_23,0
I13_25,0
I13_26,0
I13_27,0
I13_29,0
I13_30,0
I13_31,0
I13_33,1
I13_35,0
I13_37,1
I13_38,0
I13_4,1
I13_40,0
I13_41,0
I13_42,0
I13_43,0
I13_44,1
I13_49,0
I13_50,0
I13_51,1
I13_52,1
I13_55,1
I13_57,1
I13_60,0
I13_61,1
I13_62,1
I13_63,0
I13_65,1
I13_66,1
I13_68,0
I13_69,0
I13_7,0
I13_70,0
I13_71,0
I13_72,0
I13_74,0
I13_75,0
I13_76,0
I13_77,0
I13_78,0
I13_79,0
I13_8,0
I13_80,1
I13_81,0
I13_82,0
I13_84,0
I13_85,1
I13_86,0
I13_87,0
I13_88,1
I13_89,0
I13_9,0
I13_91,0
I13_95,1
I13_96,0
I13_99,0
J13_100,1
J13_101,1
J13_102,1
J13_103,1
J13_104,1
J13_105,1
J13_106,1
J13_107,1
J13_108,1
J13_109,0
J13_11,1
J13_110,0
J13_111,1
J13_112,0
J13_113,0
J13_114,1
J13_116,0
J13_117,1
J13_118,0
J13_119,0
J13_12,1
J13_120,0
J13_121,1
J13_122,1
J13_123,0
J13_13,0
J13_14,0
J13_15,0
J13_17,1
J13_18,0
J13_19,0
J13_20,0
J13_21,0
J13_23,1
J13_24,1
J13_25,0
J13_26,0
J13_27,1
J13_28,1
J13_29,0
J13_30,0
J13_31,1
J13_32,0
J13_34,0
J13_35,1
J13_36,0
J13_38,1
J13_39,1
J13_4,0
J13_40,0
J13_41,0
J13_43,1
J13_44,1
J13_45,1
J13_46,1
J13_48,1
J13_5,0
J13_51,1
J13_52,0
J13_53,1
J13_54,1
J13_55,1
J13_56,1
J13_58,0
J13_59,1
J13_6,0
J13_60,1
J13_63,0
J13_64,0
J13_65,0
J13_68,1
J13_69,0
J13_7,0
J13_70,0
J13_71,1
J13_72,1
J13_73,0
J13_74,0
J13_76,0
J13_77,1
J13_78,1
J13_80,1
J13_81,1
J13_82,0
J13_84,0
J13_85,0
J13_87,0
J13_88,0
J13_89,1
J13_9,1
J13_90,1
J13_91,1
J13_92,0
J13_93,1
J13_94,1
J13_95,0
J13_96,1
J13_97,0
J13_98,0
J13_99,0
K13_101,1
K13_102,1
K13_104,0
K13_107,1
K13_108,1
K13_109,1
K13_111,1
K13_112,0
K13_113,0
K13_114,0
K13_115,1
K13_116,0
K13_117,1
K13_118,1
K13_119,1
K13_120,0
K13_121,1
K13_124,0
K13_126,1
K13_127,0
K13_129,1
K13_13,0
K13_130,0
K13_131,1
K13_132,1
K13_133,0
K13_136,0
K13_14,1
K13_15,0
K13_16,1
K13_18,0
K13_19,0
K13_2,0
K13_20,0
K13_21,0
K13_22,0
K13_23,1
K13_24,1
K13_26,1
K13_28,1
K13_29,1
K13_3,0
K13_30,0
K13_31,1
K13_32,1
K13_34,1
K13_35,1
K13_37,0
K13_38,0
K13_40,1
K13_41,1
K13_42,1
K13_43,0
K13_44,0
K13_45,1
K13_47,0
K13_49,0
K13_5,0
K13_50,0
K13_52,1
K13_53,0
K13_54,1
K13_55,0
K13_56,0
K13_57,1
K13_58,1
K13_59,1
K13_6,0
K13_60,1
K13_62,1
K13_63,1
K13_64,0
K13_65,1
K13_66,0
K13_68,1
K13_69,0
K13_7,0
K13_70,1
K13_71,1
K13_72,1
K13_74,1
K13_77,0
K13_78,1
K13_79,0
K13_8,0
K13_81,0
K13_82,1
K13_83,0
K13_84,0
K13_85,0
K13_86,1
K13_88,1
K13_9,1
K13_92,1
K13_93,1
K13_94,1
K13_96,0
K13_97,0
K13_98,1
K13_99,0
