reg_id,spikes,morethan5,longspikes,many_longspikes
K05_49,,,,
K05_5,,,,
K05_50,,,,
K05_51,,,,
K05_52,,,,
K05_53,1,1,,
K05_54,,,,
K05_55,,,,
K05_56,,,,
K05_57,,,,
K05_58,,,,
K05_59,,,,
K05_6,,,,
K05_60,,,,
K05_61,,,,
K05_62,,,,
K05_63,,,,
K05_64,1,,,
K05_65,,,,
K05_66,1,,,
K05_67,,,,
K05_68,,,,
K05_69,,,,
K05_7,1,1,,
K05_70,,,,
K05_8,,,,
K05_9,,,,
L05_1,,,,
L05_10,,,,
L05_11,,,,
L05_12,,,,
L05_13,,,,
L05_14,,,,
L05_16,,,,
L05_17,,,,
L05_18,,,,
L05_19,,,,
L05_2,,,,
L05_20,,,,
L05_21,,,,
L05_22,,,,
L05_23,,,,
L05_24,,,,
L05_25,,,,
L05_26,,,,
L05_27,,,,
L05_28,,,,
L05_29,,,,
L05_3,,,,
L05_30,,,,
L05_31,,,,
L05_32,1,,,
L05_33,,,,
L05_34,,,,
L05_35,1,,,
L05_37,,,,
L05_38,,,,
L05_39,,,,
L05_4,,,,
L05_40,,,,
L05_41,,,,
L05_42,,,,
L05_43,,,,
L05_45,,,,
L05_46,,,,
L05_47,,,,
L05_48,,,,
L05_49,,,,
L05_5,,,,
L05_50,,,,
L05_51,,,,
L05_52,,,,
L05_53,,,,
L05_54,,,,
L05_55,,,,
L05_56,,,,
L05_57,,,,
L05_58,,,,
L05_59,,,,
L05_6,,,,
L05_60,,,,
L05_61,,,,
L05_62,,,,
L05_63,,,,
L05_64,,,,
L05_65,,,,
L05_66,,,,
L05_67,,,,
L05_68,,,,
L05_69,,,,
L05_7,1,,,
L05_70,,,,
L05_71,,,,
L05_72,,,,
L05_73,,,,
L05_74,,,,
L05_75,,,,
L05_76,,,,
L05_77,,,,
L05_78,,,,
L05_79,1,1,,
L05_8,,,,
L05_80,,,,
L05_81,,,,
L05_83,,,,
L05_84,1,1,,
L05_85,,,,
L05_86,1,1,,
L05_87,,,,
L05_88,,,,
L05_89,,,,
L05_9,,,,
L05_90,,,,
L05_91,,,,
L05_92,,,,
