"reg_id","intensity_mean","im_idx"
"D04_1",5503.25,1
"D04_2",6766.12048192771,1
"D04_3",12498.3575129534,1
"D04_4",4581.77097505669,1
"D04_5",5594.03333333333,1
"D04_6",4805.20413436693,1
"D04_7",7174.8093645485,1
"D04_8",6107.29239766082,1
"D04_9",8888.63095238095,1
"D04_10",10440.8141891892,1
"D04_11",5235.1512345679,1
"D04_12",5690.62408223201,1
"D04_13",10785.2541899441,1
"D04_14",11990.9368088468,1
"D04_15",5626.77683315622,1
"D04_16",8560.23915737299,1
"D04_17",8198.80037664783,1
"D04_18",8048.32679738562,1
"D04_19",5238.39459459459,1
"D04_20",6451.03608247423,1
"D04_21",5442.21643835616,1
"D04_22",6985.69490254873,1
"D04_23",7163.77113402062,1
"D04_24",7545.87951807229,1
"D04_25",4891.13949579832,1
"D04_26",5305.32546374368,1
"D04_27",5119.26727509778,1
"D04_28",5459.89090909091,1
"D04_29",10205.5151515152,1
"D04_30",6899.65949367089,1
"D04_31",5222.38681948424,1
"D04_32",6634.14831211954,1
"D04_33",6095.61747572816,1
"D04_34",5633.03088803089,1
"D04_35",6790.16826003824,1
"D04_36",8544.81818181818,1
"D04_37",5130.80597014925,1
"D04_38",5983.51764705882,1
"D04_39",6560.22482014389,1
"D04_40",4883.84680851064,1
"D04_41",5041.74909747292,1
"D04_42",5010.23163841808,1
"D04_43",10594.062279671,1
"D04_44",5030.56910569106,1
"D04_45",5293.85804416404,1
"D04_46",5265.63548387097,1
"D04_47",5321.41223404255,1
"D04_48",5081.16885964912,1
"D04_49",4902.62661737523,1
"D04_50",4901.39686684073,1
"D04_51",4777.10539845758,1
"D04_52",5359.30100334448,1
"D04_53",9865.12700369914,1
"D04_54",6822.70422535211,1
"D04_55",5387.16260162602,1
"D04_56",4907.8765743073,1
"D04_57",5355.58024691358,1
"D04_58",5050.21122112211,1
"D04_59",5202.19455252918,1
"D04_60",5550.24455205811,1
"D04_61",4921.4047151277,1
"D04_62",4671.955,1
"D04_63",4902.75621890547,1
"D04_64",5446.81454005935,1
"D04_65",4898.32264150943,1
"D04_66",5583.6050955414,1
"D04_67",8793.71879106439,1
"D04_68",6380.02608695652,1
"D04_69",4772.46728971963,1
"D04_70",5217.40380952381,1
"D04_71",9613.03282828283,1
"D04_72",6217.81312127237,1
"D04_73",5114.59899749373,1
"D04_74",5355.92235294118,1
"D04_75",5721.91987179487,1
"D04_76",4798.2177589852,1
"D04_77",5377.40582524272,1
"D04_78",6136.28805237316,1
"D04_79",9086.63355592654,1
"D04_80",5156.0272572402,1
"D04_81",4797.686774942,1
"D04_82",5531.57843137255,1
"D04_83",5381.30221518987,1
"D04_84",8762.8878695209,1
"D04_85",4963.82952182952,1
"D04_86",5680.72962962963,1
"D04_87",5016.83222958057,1
"D04_88",5398.76587301587,1
"D04_89",9034.22336328626,1
"D04_90",10160.6062827225,1
"D04_91",5142.47685185185,1
"D04_92",5173.66062176166,1
"D04_93",5302.74358974359,1
"D04_94",5692.23841059603,1
"D04_95",6729.92375366569,1
"D04_96",5137.86124401914,1
"D04_97",13241.0463483146,1
"D04_98",10818.1259445844,1
"D04_99",5718.87951807229,1
"D04_100",6066.34210526316,1
"D04_101",5266.54,1
"D04_102",9760.03171247357,1
"D04_103",5472.15064102564,1
"D04_104",10366.1859504132,1
"D04_105",5489.97891566265,1
"D04_106",6091.09473684211,1
"D04_107",5769.46687697161,1
"D04_108",5308.02619047619,1
"D04_109",5237.8025751073,1
"D04_110",5553.13043478261,1
"D04_111",6133.1014084507,1
"D04_112",13662.3550724638,1
"D04_113",5172.65625,1
"D04_114",5313.86165048544,1
"D04_115",6692.07032967033,1
"D04_116",4887.87944664032,1
"D04_117",5911.62130177515,1
"D04_118",6033.62258064516,1
"D04_119",5664.71186440678,1
"D04_120",5974.74482758621,1
"D04_121",6455.12598425197,1
"D04_122",5473.53448275862,1
"D04_123",9361.15632183908,1
"D04_124",6465.43873517787,1
"D04_125",5524.09761388286,1
"D04_126",9266.24831309042,1
"D04_127",5953.77064220183,1
"D04_128",5623.72769953052,1
"D04_129",5878.11532846715,1
"D04_130",7023.63112391931,1
"D04_131",8091.74136125654,1
"D04_132",5666.54444444444,1
"D04_133",6573.07722772277,1
"D04_134",7266.68286445013,1
"D04_135",6001.21588594705,1
"D04_136",11393.1706161137,1
"D04_137",9528.46138613861,1
"D04_138",6011.0868596882,1
"D04_139",6800.79326923077,1
"D04_140",6745.09248554913,1
"D04_141",7422.88399071926,1
"D04_142",7810.88837209302,1
"D04_143",5480.0033557047,1
