reg_id,spikes,morethan5,longspikes,many_longspikes
D07_1,0,,,
D07_10,0,,,
D07_100,0,,,
D07_101,0,,,
D07_102,0,,,
D07_103,0,,,
D07_104,0,,,
D07_105,1,,,
D07_106,1,,,
D07_107,0,,,
D07_108,0,,,
D07_109,0,,,
D07_11,1,,,
D07_110,0,,,
D07_111,0,,,
D07_112,0,,,
D07_113,0,,,
D07_114,1,,,
D07_115,0,,,
D07_116,0,,,
D07_117,0,,,
D07_118,0,,,
D07_119,0,,,
D07_12,1,,,
D07_120,0,,,
D07_121,0,,,
D07_122,0,,,
D07_123,0,,,
D07_124,0,,,
D07_125,1,,,
D07_126,0,,,
D07_127,0,,,
D07_128,0,,,
D07_129,0,,,
D07_13,1,1,,
D07_130,0,,,
D07_131,0,,,
D07_132,0,,,
D07_133,0,,,
D07_134,0,,,
D07_135,0,,,
D07_136,0,,,
D07_137,0,,,
D07_138,0,,,
D07_139,0,,,
D07_14,1,1,,
D07_140,0,,,
D07_141,0,,,
D07_142,0,,,
D07_143,0,,,
D07_144,0,,,
D07_145,0,,,
D07_146,0,,,
D07_147,0,,,
D07_148,0,,,
D07_149,0,,,
D07_15,1,,,
D07_150,0,,,
D07_151,0,,,
D07_152,0,,,
D07_153,0,,,
D07_154,0,,,
D07_155,0,,,
D07_156,1,,,
D07_157,0,,,
D07_158,0,,,
D07_159,0,,,
D07_16,1,1,,
D07_160,0,,,
D07_161,0,,,
D07_162,0,,,
D07_163,0,,,
D07_164,0,,,
D07_165,0,,,
D07_166,0,,,
D07_167,0,,,
D07_168,0,,,
D07_169,0,,,
D07_17,1,1,,
D07_170,0,,,
D07_171,0,,,
D07_18,0,,,
D07_19,0,,,
D07_2,0,,,
D07_20,0,,,
D07_21,0,,,
D07_22,0,,,
D07_23,0,,,
D07_24,0,,,
D07_25,0,,,
D07_26,0,,,
D07_27,0,,,
D07_28,0,,,
D07_29,0,,,
D07_3,0,,,
D07_30,0,,,
D07_31,0,,,
D07_32,0,,,
D07_33,0,,,
D07_34,1,,,
D07_35,0,,,
D07_36,0,,,
D07_37,1,1,,
D07_38,0,,,
D07_39,0,,,
D07_4,0,,,
D07_40,0,,,
D07_41,0,,,
D07_42,0,,,
D07_43,0,,,
D07_44,0,,,
D07_45,0,,,
D07_46,0,,,
D07_47,0,,,
D07_48,0,,,
D07_49,0,,,
D07_5,0,,,
D07_50,0,,,
D07_51,0,,,
D07_52,0,,,
D07_53,0,,,
D07_54,0,,,
D07_55,0,,,
D07_56,0,,,
D07_57,1,1,,
D07_58,0,,,
D07_59,0,,,
D07_6,0,,,
D07_60,0,,,
D07_61,0,,,
D07_62,0,,,
D07_63,0,,,
D07_64,1,1,,
D07_65,0,,,
D07_66,0,,,
D07_67,0,,,
D07_68,0,,,
D07_69,0,,,
D07_7,0,,,
D07_70,0,,,
D07_71,1,,,
D07_72,0,,,
D07_73,0,,,
D07_74,0,,,
D07_75,1,,,
D07_76,0,,,
D07_77,0,,,
D07_78,1,,,
D07_79,1,,,
D07_8,0,,,
D07_80,0,,,
D07_81,0,,,
D07_82,1,,,
D07_83,1,,,
D07_84,0,,,
D07_85,0,,,
D07_86,0,,,
D07_87,0,,,
D07_88,0,,,
D07_89,0,,,
D07_9,1,,,
D07_90,0,,,
D07_91,0,,,
D07_92,0,,,
D07_93,0,,,
D07_94,0,,,
D07_95,0,,,
D07_96,0,,,
D07_97,0,,,
D07_98,0,,,
D07_99,1,,,
E07_1,0,,,
E07_10,0,,,
E07_11,0,,,
E07_12,0,,,
E07_13,0,,,
E07_14,1,,,
E07_15,0,,,
E07_16,0,,,
E07_17,0,,,
E07_18,0,,,
E07_19,0,,,
E07_2,0,,,
E07_20,0,,,
E07_21,0,,,
E07_22,0,,,
E07_23,0,,,
E07_24,0,,,
E07_25,0,,,
E07_26,0,,,
E07_27,0,,,
E07_28,0,,,
E07_29,0,,,
E07_3,0,,,
E07_30,0,,,
E07_31,0,,,
E07_32,0,,,
E07_33,0,,,
E07_34,0,,,
E07_35,0,,,
E07_36,0,,,
E07_37,0,,,
E07_38,0,,,
E07_39,1,,,
E07_4,1,,,
E07_40,1,,,
E07_41,0,,,
E07_42,0,,,
E07_43,0,,,
