reg_id,spikes,morethan5,longspikes,many_longspikes
20230426_8day8uMPLXCa2free_100,0,3.012048193,,
20230426_8day8uMPLXCa2free_103,0,,,
20230426_8day8uMPLXCa2free_104,0,,,
20230426_8day8uMPLXCa2free_109,0,,,
20230426_8day8uMPLXCa2free_11,0,,,
20230426_8day8uMPLXCa2free_111,0,,,
20230426_8day8uMPLXCa2free_112,0,,,
20230426_8day8uMPLXCa2free_115,0,,,
20230426_8day8uMPLXCa2free_117,0,,,
20230426_8day8uMPLXCa2free_118,0,,,
20230426_8day8uMPLXCa2free_124,0,,,
20230426_8day8uMPLXCa2free_125,0,,,
20230426_8day8uMPLXCa2free_126,0,,,
20230426_8day8uMPLXCa2free_127,0,,,
20230426_8day8uMPLXCa2free_128,0,,,
20230426_8day8uMPLXCa2free_131,0,,,
20230426_8day8uMPLXCa2free_132,0,,,
20230426_8day8uMPLXCa2free_133,0,,,
20230426_8day8uMPLXCa2free_137,0,,,
20230426_8day8uMPLXCa2free_138,0,,,
20230426_8day8uMPLXCa2free_14,0,,,
20230426_8day8uMPLXCa2free_140,0,,,
20230426_8day8uMPLXCa2free_142,0,,,
20230426_8day8uMPLXCa2free_143,0,,,
20230426_8day8uMPLXCa2free_146,0,,,
20230426_8day8uMPLXCa2free_147,0,,,
20230426_8day8uMPLXCa2free_152,0,,,
20230426_8day8uMPLXCa2free_154,0,,,
20230426_8day8uMPLXCa2free_155,0,,,
20230426_8day8uMPLXCa2free_158,0,,,
20230426_8day8uMPLXCa2free_16,0,,,
20230426_8day8uMPLXCa2free_160,0,,,
20230426_8day8uMPLXCa2free_161,0,,,
20230426_8day8uMPLXCa2free_162,0,,,
20230426_8day8uMPLXCa2free_163,0,,,
20230426_8day8uMPLXCa2free_164,0,,,
20230426_8day8uMPLXCa2free_165,0,,,
20230426_8day8uMPLXCa2free_166,0,,,
20230426_8day8uMPLXCa2free_167,0,,,
20230426_8day8uMPLXCa2free_168,0,,,
20230426_8day8uMPLXCa2free_169,0,,,
20230426_8day8uMPLXCa2free_17,0,,,
20230426_8day8uMPLXCa2free_171,0,,,
20230426_8day8uMPLXCa2free_172,0,,,
20230426_8day8uMPLXCa2free_173,0,,,
20230426_8day8uMPLXCa2free_174,0,,,
20230426_8day8uMPLXCa2free_176,0,,,
20230426_8day8uMPLXCa2free_181,0,,,
20230426_8day8uMPLXCa2free_185,0,,,
20230426_8day8uMPLXCa2free_187,0,,,
20230426_8day8uMPLXCa2free_189,0,,,
20230426_8day8uMPLXCa2free_19,0,,,
20230426_8day8uMPLXCa2free_191,0,,,
20230426_8day8uMPLXCa2free_193,0,,,
20230426_8day8uMPLXCa2free_194,0,,,
20230426_8day8uMPLXCa2free_197,0,,,
20230426_8day8uMPLXCa2free_198,0,,,
20230426_8day8uMPLXCa2free_2,0,,,
20230426_8day8uMPLXCa2free_200,0,,,
20230426_8day8uMPLXCa2free_201,0,,,
20230426_8day8uMPLXCa2free_202,0,,,
20230426_8day8uMPLXCa2free_204,0,,,
20230426_8day8uMPLXCa2free_205,0,,,
20230426_8day8uMPLXCa2free_209,1,,,
20230426_8day8uMPLXCa2free_21,0,,,
20230426_8day8uMPLXCa2free_212,1,,,
20230426_8day8uMPLXCa2free_213,0,,,
20230426_8day8uMPLXCa2free_214,0,,,
20230426_8day8uMPLXCa2free_219,0,,,
20230426_8day8uMPLXCa2free_22,0,,,
20230426_8day8uMPLXCa2free_220,0,,,
20230426_8day8uMPLXCa2free_221,0,,,
20230426_8day8uMPLXCa2free_224,0,,,
20230426_8day8uMPLXCa2free_227,0,,,
20230426_8day8uMPLXCa2free_23,0,,,
20230426_8day8uMPLXCa2free_233,0,,,
20230426_8day8uMPLXCa2free_235,0,,,
20230426_8day8uMPLXCa2free_238,0,,,
20230426_8day8uMPLXCa2free_239,0,,,
20230426_8day8uMPLXCa2free_24,0,,,
20230426_8day8uMPLXCa2free_241,0,,,
20230426_8day8uMPLXCa2free_242,0,,,
20230426_8day8uMPLXCa2free_243,1,,,
20230426_8day8uMPLXCa2free_245,0,,,
20230426_8day8uMPLXCa2free_247,0,,,
20230426_8day8uMPLXCa2free_248,0,,,
20230426_8day8uMPLXCa2free_249,0,,,
20230426_8day8uMPLXCa2free_254,0,,,
20230426_8day8uMPLXCa2free_255,0,,,
20230426_8day8uMPLXCa2free_256,0,,,
20230426_8day8uMPLXCa2free_257,0,,,
20230426_8day8uMPLXCa2free_258,0,,,
20230426_8day8uMPLXCa2free_259,0,,,
20230426_8day8uMPLXCa2free_26,0,,,
20230426_8day8uMPLXCa2free_260,0,,,
20230426_8day8uMPLXCa2free_265,0,,,
20230426_8day8uMPLXCa2free_266,1,,,
20230426_8day8uMPLXCa2free_267,0,,,
20230426_8day8uMPLXCa2free_269,0,,,
20230426_8day8uMPLXCa2free_273,0,,,
20230426_8day8uMPLXCa2free_274,0,,,
20230426_8day8uMPLXCa2free_277,0,,,
20230426_8day8uMPLXCa2free_28,0,,,
20230426_8day8uMPLXCa2free_280,0,,,
20230426_8day8uMPLXCa2free_281,0,,,
20230426_8day8uMPLXCa2free_282,0,,,
20230426_8day8uMPLXCa2free_285,0,,,
20230426_8day8uMPLXCa2free_286,0,,,
20230426_8day8uMPLXCa2free_287,0,,,
20230426_8day8uMPLXCa2free_288,0,,,
20230426_8day8uMPLXCa2free_290,0,,,
20230426_8day8uMPLXCa2free_292,0,,,
20230426_8day8uMPLXCa2free_294,0,,,
20230426_8day8uMPLXCa2free_295,0,,,
20230426_8day8uMPLXCa2free_297,0,,,
20230426_8day8uMPLXCa2free_298,0,,,
20230426_8day8uMPLXCa2free_299,0,,,
20230426_8day8uMPLXCa2free_3,0,,,
20230426_8day8uMPLXCa2free_302,0,,,
20230426_8day8uMPLXCa2free_303,0,,,
20230426_8day8uMPLXCa2free_304,0,,,
20230426_8day8uMPLXCa2free_307,0,,,
20230426_8day8uMPLXCa2free_308,0,,,
20230426_8day8uMPLXCa2free_312,0,,,
20230426_8day8uMPLXCa2free_314,0,,,
20230426_8day8uMPLXCa2free_315,0,,,
20230426_8day8uMPLXCa2free_316,1,,,
20230426_8day8uMPLXCa2free_318,0,,,
20230426_8day8uMPLXCa2free_319,0,,,
20230426_8day8uMPLXCa2free_328,0,,,
20230426_8day8uMPLXCa2free_329,0,,,
20230426_8day8uMPLXCa2free_33,0,,,
20230426_8day8uMPLXCa2free_330,0,,,
20230426_8day8uMPLXCa2free_331,0,,,
20230426_8day8uMPLXCa2free_333,0,,,
20230426_8day8uMPLXCa2free_37,0,,,
20230426_8day8uMPLXCa2free_38,0,,,
20230426_8day8uMPLXCa2free_41,0,,,
20230426_8day8uMPLXCa2free_43,0,,,
20230426_8day8uMPLXCa2free_45,0,,,
20230426_8day8uMPLXCa2free_47,0,,,
20230426_8day8uMPLXCa2free_53,0,,,
20230426_8day8uMPLXCa2free_58,0,,,
20230426_8day8uMPLXCa2free_62,0,,,
20230426_8day8uMPLXCa2free_63,0,,,
20230426_8day8uMPLXCa2free_66,0,,,
20230426_8day8uMPLXCa2free_67,0,,,
20230426_8day8uMPLXCa2free_7,0,,,
20230426_8day8uMPLXCa2free_70,0,,,
20230426_8day8uMPLXCa2free_71,0,,,
20230426_8day8uMPLXCa2free_72,0,,,
20230426_8day8uMPLXCa2free_73,0,,,
20230426_8day8uMPLXCa2free_74,0,,,
20230426_8day8uMPLXCa2free_76,0,,,
20230426_8day8uMPLXCa2free_79,0,,,
20230426_8day8uMPLXCa2free_80,0,,,
20230426_8day8uMPLXCa2free_81,0,,,
20230426_8day8uMPLXCa2free_83,0,,,
20230426_8day8uMPLXCa2free_85,0,,,
20230426_8day8uMPLXCa2free_86,0,,,
20230426_8day8uMPLXCa2free_87,0,,,
20230426_8day8uMPLXCa2free_9,0,,,
20230426_8day8uMPLXCa2free_94,0,,,
20230426_8day8uMPLXCa2free_95,0,,,
20230426_8day8uMPLXCa2free_98,0,,,
20230426_8day8uMPLXCa2free_99,0,,,
